filename,half_cm_num_pixels,measurement_name,tube_bottom,x,y,crystal_present,y_location_of_mean_crystal_verts,height_cm_of_mean_crystal_vertex_from_bottom,liquid_height_pixels,file_time,liquid height (cm),elapsed hours,elapsed_minutes
./MA_358_5_GBL_DMF/20200708-154343-657.tif,114.83870967741933,antisolvent,576.5709677419355,367.67204301075265,115.49569892473119,0,,,-461.07526881720435,2020-07-08 15:43:43,2.0074906367041203,0.0,0.0
./MA_358_5_GBL_DMF/20200708-154343-657.tif,114.83870967741933,solvent,590.3344086021506,495.8440860215054,428.61397849462367,0,,,-161.7204301075269,2020-07-08 15:43:43,0.7041198501872662,0.0,0.0
./MA_358_5_GBL_DMF/20200708-154743-660.tif,114.83870967741933,antisolvent,576.5709677419355,367.67204301075265,118.07634408602155,1,441.5129870129869,0.5880333430614337,-458.494623655914,2020-07-08 15:47:43,1.9962546816479405,0.06666666666666667,4.0
./MA_358_5_GBL_DMF/20200708-154743-660.tif,114.83870967741933,solvent,590.3344086021506,494.1236559139785,425.1731182795699,1,441.5129870129869,0.6479584366943925,-165.16129032258067,2020-07-08 15:47:43,0.7191011235955058,0.06666666666666667,4.0
./MA_358_5_GBL_DMF/20200708-164343-662.tif,114.83870967741933,solvent,590.3344086021506,499.2849462365592,411.40967741935486,1,,,-178.9247311827957,2020-07-08 16:43:43,0.7790262172284647,1.0,60.0
./MA_358_5_GBL_DMF/20200708-164343-662.tif,114.83870967741933,antisolvent,576.5709677419355,370.252688172043,148.183870967742,1,,,-428.38709677419354,2020-07-08 16:43:43,1.865168539325843,1.0,60.0
./MA_358_5_GBL_DMF/20200708-174343-660.tif,114.83870967741933,antisolvent,576.5709677419355,367.67204301075265,169.689247311828,1,,,-406.8817204301075,2020-07-08 17:43:43,1.771535580524345,2.0,120.0
./MA_358_5_GBL_DMF/20200708-174343-660.tif,114.83870967741933,solvent,590.3344086021506,497.5645161290323,399.3666666666667,1,,,-190.9677419354839,2020-07-08 17:43:43,0.8314606741573036,2.0,120.0
./MA_358_5_GBL_DMF/20200708-184343-655.tif,114.83870967741933,solvent,590.3344086021506,497.5645161290323,387.32365591397854,1,,,-203.01075268817203,2020-07-08 18:43:43,0.8838951310861425,3.0,180.0
./MA_358_5_GBL_DMF/20200708-184343-655.tif,114.83870967741933,antisolvent,576.5709677419355,374.5537634408603,192.91505376344094,1,,,-383.6559139784946,2020-07-08 18:43:43,1.670411985018727,3.0,180.0
