filename,x,y,measurement_name,half_cm_num_pixels,tube_bottom,crystal_present,y_location_of_mean_crystal_verts,height_cm_of_mean_crystal_vertex_from_bottom,liquid_height_pixels,file_time,liquid height (cm),elapsed hours,elapsed_minutes
./MA_334_3_DMSO/20200618-115109-632.tif,258.0698029369795,69.64070769286343,antisolvent,119.96838240293738,569.9630448085945,0,,,-500.3223371157311,2020-06-18 11:51:09,2.0852258198968636,0.0,0.0
./MA_334_3_DMSO/20200618-115109-632.tif,553.9352726550221,405.06328233657854,solvent,119.96838240293738,575.0626572380498,0,,,-169.9993749014713,2020-06-18 11:51:09,0.7085174089056857,0.0,0.0
./MA_334_3_DMSO/20200618-125109-635.tif,244.47178214455693,98.2488950839736,antisolvent,119.96838240293738,569.9630448085945,0,,,-471.71414972462094,2020-06-18 12:51:09,1.9659936238044633,1.0,60.0
./MA_334_3_DMSO/20200618-125109-635.tif,533.619806894676,394.02641599238456,solvent,119.96838240293738,575.0626572380498,0,,,-181.03624124566528,2020-06-18 12:51:09,0.7545164718384695,1.0,60.0
./MA_334_3_DMSO/20200618-135109-635.tif,249.3997525423116,121.11913191120414,antisolvent,119.96838240293738,569.9630448085945,0,,,-448.8439128973904,2020-06-18 13:51:09,1.8706758560345507,2.0,120.0
./MA_334_3_DMSO/20200618-135109-635.tif,532.2601466683524,381.22064375124177,solvent,119.96838240293738,575.0626572380498,0,,,-193.84201348680807,2020-06-18 13:51:09,0.8078879184840202,2.0,120.0
./MA_334_3_DMSO/20200618-145109-633.tif,248.04151084517565,142.61552322023522,antisolvent,119.96838240293738,569.9630448085945,0,,,-427.3475215883593,2020-06-18 14:51:09,1.7810839532412328,3.0,180.0
./MA_334_3_DMSO/20200618-145109-633.tif,534.6397293805669,371.58812130278096,solvent,119.96838240293738,575.0626572380498,0,,,-203.47453593526888,2020-06-18 14:51:09,0.8480340063761953,3.0,180.0
./MA_334_3_DMSO/20200618-155109-641.tif,248.85787439264482,163.38562758521027,antisolvent,119.96838240293738,569.9630448085945,0,,,-406.57741722338426,2020-06-18 15:51:09,1.6945190436002302,4.0,240.0
./MA_334_3_DMSO/20200618-155109-641.tif,536.0532937160195,363.8805429619059,solvent,119.96838240293738,575.0626572380498,0,,,-211.18211427614392,2020-06-18 15:51:09,0.8801573799955362,4.0,240.0
./MA_334_3_DMSO/20200618-165109-631.tif,250.48350884164506,184.51887542221334,antisolvent,119.96838240293738,569.9630448085945,0,,,-385.4441693863812,2020-06-18 16:51:09,1.60644063738307,5.0,300.0
