filename,x,y,measurement_name,half_cm_num_pixels,tube_bottom,crystal_present,y_location_of_mean_crystal_verts,height_cm_of_mean_crystal_vertex_from_bottom,liquid_height_pixels,file_time,liquid height (cm),elapsed hours,elapsed_minutes
./MA_336_7_DMF_DMSO/20200623-154333-249.tif,337.18401278832425,86.43893033253244,antisolvent,103.77711293941661,533.7557965594615,0,,,-447.31686622692905,2020-06-23 15:43:33,2.1551807212446996,0.0,0.0
./MA_336_7_DMF_DMSO/20200623-154333-249.tif,588.073596084027,386.09754709824244,solvent,103.77711293941661,535.7956415312435,0,,,-149.69809443300107,2020-06-23 15:43:33,0.7212481162411619,0.0,0.0
./MA_336_7_DMF_DMSO/20200623-164333-243.tif,341.8743795471543,116.6074998300129,antisolvent,103.77711293941661,533.7557965594615,0,,,-417.1482967294486,2020-06-23 16:43:33,2.0098280098280097,1.0,60.0
./MA_336_7_DMF_DMSO/20200623-164333-243.tif,589.7155436186849,365.4685863874345,solvent,103.77711293941661,535.7956415312435,0,,,-170.327055143809,2020-06-23 16:43:33,0.8206388206388202,1.0,60.0
./MA_336_7_DMF_DMSO/20200623-174333-245.tif,343.14467243465845,139.5429889998735,antisolvent,103.77711293941661,533.7557965594615,0,,,-394.212807559588,2020-06-23 17:43:33,1.8993244097555644,2.0,120.0
./MA_336_7_DMF_DMSO/20200623-174333-245.tif,588.6154742336938,353.042979968571,solvent,103.77711293941661,535.7956415312435,0,,,-182.75266156267253,2020-06-23 17:43:33,0.880505616249705,2.0,120.0
./MA_336_7_DMF_DMSO/20200623-184335-469.tif,341.36441830420875,156.38447677976467,antisolvent,103.77711293941661,533.7557965594615,0,,,-377.3713197796968,2020-06-23 18:43:35,1.8181818181818183,3.0005555555555556,180.03333333333333
./MA_336_7_DMF_DMSO/20200623-184335-469.tif,585.1258924321751,338.95060175426664,solvent,103.77711293941661,535.7956415312435,0,,,-196.84503977697688,2020-06-23 18:43:35,0.948402948402948,3.0005555555555556,180.03333333333333
./MA_336_7_DMF_DMSO/20200623-194335-468.tif,339.3245733324266,176.2729652546406,antisolvent,103.77711293941661,533.7557965594615,0,,,-357.4828313048209,2020-06-23 19:43:35,1.7223587223587224,4.000555555555556,240.03333333333333
./MA_336_7_DMF_DMSO/20200623-194335-468.tif,583.5960087033384,330.79122186713806,solvent,103.77711293941661,535.7956415312435,0,,,-205.00441966410546,2020-06-23 19:43:35,0.9877149877149873,4.000555555555556,240.03333333333333
./MA_336_7_DMF_DMSO/20200623-204335-472.tif,343.14467243465845,193.73080396654797,antisolvent,103.77711293941661,533.7557965594615,0,,,-340.0249925929135,2020-06-23 20:43:35,1.6382465408891003,5.000555555555556,300.03333333333336
./MA_336_7_DMF_DMSO/20200623-204335-472.tif,586.4479616350268,322.6978035872333,solvent,103.77711293941661,535.7956415312435,0,,,-213.09783794401022,2020-06-23 20:43:35,1.0267092228149248,5.000555555555556,300.03333333333336
