filename,x,y,measurement_name,half_cm_num_pixels,tube_bottom,crystal_present,y_location_of_mean_crystal_verts,height_cm_of_mean_crystal_vertex_from_bottom,liquid_height_pixels,file_time,liquid height (cm),elapsed hours,elapsed_minutes
./MA_357_5_GBL_DMF/20200706-184312-114.tif,179.47868612611308,107.63286852229822,antisolvent,85.36751206908274,461.1740327735092,0,,,-353.541164251211,2020-07-06 18:43:12,2.070700877197356,0.0,0.0
./MA_357_5_GBL_DMF/20200706-184312-114.tif,391.02791575601026,333.92118382313095,solvent,85.36751206908274,459.1341878017271,0,,,-125.21300397859613,2020-07-06 18:43:12,0.7333762045054615,0.0,0.0
./MA_357_5_GBL_DMF/20200706-194312-724.tif,178.75069694703205,131.12711633915825,antisolvent,85.36751206908274,461.1740327735092,0,,,-330.046916434351,2020-07-06 19:43:12,1.9330943847072881,1.0,60.0
./MA_357_5_GBL_DMF/20200706-194312-724.tif,385.59097708574154,318.3848847487591,solvent,85.36751206908274,459.1341878017271,0,,,-140.749303052968,2020-07-06 19:43:12,0.8243727598566312,1.0,60.0
./MA_357_5_GBL_DMF/20200706-204313-332.tif,178.61168108664629,148.81560789697085,antisolvent,85.36751206908274,461.1740327735092,0,,,-312.3584248765384,2020-07-06 20:43:13,1.829492375411888,2.000277777777778,120.01666666666667
./MA_357_5_GBL_DMF/20200706-204313-332.tif,385.8258855192095,307.04402759966035,solvent,85.36751206908274,459.1341878017271,0,,,-152.09016020206673,2020-07-06 20:43:13,0.8907964898812408,2.000277777777778,120.01666666666667
./MA_357_5_GBL_DMF/20200706-214313-942.tif,181.60647990752705,162.54072890460327,antisolvent,85.36751206908274,461.1740327735092,0,,,-298.63330386890595,2020-07-06 21:43:13,1.74910394265233,3.000277777777778,180.01666666666668
./MA_357_5_GBL_DMF/20200706-214313-942.tif,389.2626980349494,298.3944040252941,solvent,85.36751206908274,459.1341878017271,0,,,-160.739783776433,2020-07-06 21:43:13,0.9414575866188771,3.000277777777778,180.01666666666668
./MA_357_5_GBL_DMF/20200706-220114-124.tif,179.91218864584647,167.45621624550688,antisolvent,85.36751206908274,461.1740327735092,1,316.72077922077915,0.8460669056152933,-293.71781652800234,2020-07-06 22:01:14,1.7203137903932024,3.3005555555555555,198.03333333333333
./MA_357_5_GBL_DMF/20200706-220114-124.tif,387.12639307840965,297.94047468525906,solvent,85.36751206908274,459.1341878017271,1,316.72077922077915,0.8341194743130234,-161.19371311646802,2020-07-06 22:01:14,0.9441162639601336,3.3005555555555555,198.03333333333333
./MA_357_5_GBL_DMF/20200706-224314-552.tif,384.5253779600093,292.7384444484583,solvent,85.36751206908274,459.1341878017271,1,,,-166.39574335326876,2020-07-06 22:43:14,0.9745847062909295,4.000555555555556,240.03333333333333
./MA_357_5_GBL_DMF/20200706-224314-552.tif,183.38020880371363,175.69276412044138,antisolvent,85.36751206908274,461.1740327735092,1,,,-285.48126865306784,2020-07-06 22:43:14,1.672072090036109,4.000555555555556,240.03333333333333
./MA_357_5_GBL_DMF/20200706-234315-160.tif,182.0144489018835,188.6507445434147,antisolvent,85.36751206908274,461.1740327735092,1,,,-272.5232882300945,2020-07-06 23:43:15,1.596176821983274,5.0008333333333335,300.05
./MA_357_5_GBL_DMF/20200706-234315-160.tif,385.1830080913851,285.33939620588836,solvent,85.36751206908274,459.1341878017271,1,,,-173.79479159583872,2020-07-06 23:43:15,1.0179211469534053,5.0008333333333335,300.05
./MA_357_5_GBL_DMF/20200707-004315-770.tif,183.38020880371363,202.56992034391197,antisolvent,85.36751206908274,461.1740327735092,1,,,-258.60411242959725,2020-07-07 00:43:15,1.5146518046603294,6.0008333333333335,360.05
./MA_357_5_GBL_DMF/20200707-004315-770.tif,387.5598955981431,279.299866336723,solvent,85.36751206908274,459.1341878017271,1,,,-179.83432146500405,2020-07-07 00:43:15,1.0532948489788192,6.0008333333333335,360.05
./MA_357_5_GBL_DMF/20200707-014317-548.tif,184.05429387366564,214.7607601822262,antisolvent,85.36751206908274,461.1740327735092,1,,,-246.41327259128303,2020-07-07 01:43:17,1.4432497013142176,7.001388888888889,420.0833333333333
./MA_357_5_GBL_DMF/20200707-014317-548.tif,388.85472904059293,273.50829536955194,solvent,85.36751206908274,459.1341878017271,1,,,-185.62589243217514,2020-07-07 01:43:17,1.087216248506571,7.001388888888889,420.0833333333333
