Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm),Time for Concentration (hours),FAH [M],Inorganic [M],Organic [M],Solvent [M],DCM [M]
0,2.019230769,0.6153846154,0.000369925213611111,1.302884615,0.0555555555555556,1.22718796950715,0.216689609234768,0.316700198112354,4.84323450774829,8.40356830133995
1,1.865384615,0.7259615385,NaN,NaN,0.111111111111111,1.21553192347911,0.214631453416918,0.313692124224726,4.79723261908119,8.4723909749168
2,1.75,0.7932692308,NaN,NaN,0.166666666666667,1.20768550990671,0.213245980015006,0.311667201560394,4.76626587077516,8.51871982080017
3,1.653846154,0.8557692308,NaN,NaN,0.222222222222222,1.19904147366125,0.211719667108767,0.309436436543583,4.73215121542447,8.56975819894977
4,1.572115385,0.9038461538,NaN,NaN,0.277777777777778,1.1927200216639,0.210603462422004,0.30780506046293,4.70720289844826,8.60708296811242
5,1.490384615,0.9471153846,NaN,NaN,0.333333333333333,1.18781917067313,0.209738099077109,0.30654029865116,4.68786114215206,8.63601985350008
6,1.413461538,0.9807692308,NaN,NaN,0.388888888888889,1.18100644973218,0.208535149019579,0.304782140874769,4.66097397737151,8.67624530116571
7,1.336538462,1.014423077,NaN,NaN,0.444444444444444,1.17534599982953,0.207535660181702,0.303321349496333,4.63863437905477,8.70966720899035
8,1.259615385,1.052884615,NaN,NaN,0.5,1.17110001164388,0.206785928646172,0.302225588021328,4.62187711202546,8.73473748223814
9,1.192307692,1.086538462,NaN,NaN,0.555555555555556,1.16769346645089,0.206184421000194,0.301346461461822,4.6084328006071,8.75485129675795
10,1.125,1.105769231,NaN,NaN,0.611111111111111,1.16418142924876,0.205564286197818,0.300440110596812,4.59457215318184,8.77558798477125
11.0055555555556,1.072115385,1.144230769,NaN,NaN,0.666666666666667,1.15919944846781,0.204684597433373,0.299154411633392,4.5749102090993,8.8050038978715
12.0055555555556,1.004807692,1.177884615,NaN,NaN,0.722222222222222,1.15489574273868,0.203924674474642,0.2980437550014,4.55792515333243,8.83041496212557
13.0055555555556,0.9519230769,1.201923077,NaN,NaN,0.777777777777778,1.15113185381892,0.203260069182306,0.297072408804909,4.54307054494931,8.85263869887824
14.0055555555556,0.8894230769,1.221153846,NaN,NaN,0.833333333333333,1.14780690881091,0.202672970015417,0.296214340791764,4.52994827778297,8.87227070825752
15.0055555555556,0.8365384615,1.240384615,NaN,NaN,0.888888888888889,1.14451615588893,0.202091908285291,0.295365096724656,4.51696095350648,8.8917008317854
16.0055555555556,0.7788461538,1.264423077,NaN,NaN,0.944444444444444,1.13913784214081,0.201142237384517,0.293977116177371,4.49573483706334,8.9234568775826
17.0055555555556,0.7163461538,1.278846154,NaN,NaN,1,1.13496674110455,0.200405728979868,0.29290068081673,4.47927312054062,8.94808498254926
18.0055555555556,0.6634615385,1.302884615,NaN,NaN,1.05555555555556,1.13147545716105,0.199789258665423,0.291999685741772,4.46549437817053,8.96869913374854
19.0055555555556,0.5961538462,1.331730769,NaN,NaN,1.11111111111111,1.12845230498299,0.199255448295374,0.291219501354778,4.4535631701447,8.98654921901963
NaN,NaN,NaN,NaN,NaN,1.16666666666667,1.12578749303539,0.198784911528426,0.290531793772316,4.44304619189691,9.00228349824022
NaN,NaN,NaN,NaN,NaN,1.22222222222222,1.12341238176221,0.198365528396859,0.289918849195409,4.43367254974605,9.01630725101793
NaN,NaN,NaN,NaN,NaN,1.27777777777778,1.12127862220567,0.197988761727045,0.28936819021645,4.42525142912538,9.02890595190653
NaN,NaN,NaN,NaN,NaN,1.33333333333333,1.11934965404689,0.197648155913641,0.288870381719937,4.41763854064935,9.04029546989684
NaN,NaN,NaN,NaN,NaN,1.38888888888889,1.11647559245029,0.197140671078588,0.288128673114859,4.40629573526995,9.05726525558806
NaN,NaN,NaN,NaN,NaN,1.44444444444444,1.11319245388382,0.196560953846421,0.287281394083231,4.3933384618987,9.0766504204479
NaN,NaN,NaN,NaN,NaN,1.5,1.1101828403885,0.196029534057072,0.286504703621874,4.38146068579782,9.09442056708961
NaN,NaN,NaN,NaN,NaN,1.55555555555556,1.10741375258708,0.195540584875254,0.28579008558691,4.37053217123601,9.11077053906163
NaN,NaN,NaN,NaN,NaN,1.61111111111111,1.10485735011596,0.195089190413869,0.285130355220271,4.36044304310612,9.12586471871549
NaN,NaN,NaN,NaN,NaN,1.66666666666667,1.10166953906374,0.19452630555158,0.284307677344616,4.3478619904264,9.14468702594934
NaN,NaN,NaN,NaN,NaN,1.72222222222222,1.09733531856147,0.193760994474295,0.283189145770123,4.33075650469611,9.17027826350284
NaN,NaN,NaN,NaN,NaN,1.77777777777778,1.09373430155377,0.193125148142979,0.282259831901277,4.31654468852122,9.19154032934142
NaN,NaN,NaN,NaN,NaN,1.83333333333333,1.09058221421079,0.192568571162437,0.281446373237408,4.30410462345349,9.21015170731388
NaN,NaN,NaN,NaN,NaN,1.88888888888889,1.08775809624428,0.192069905078836,0.280717553576761,4.2929589261934,9.2268266027702
NaN,NaN,NaN,NaN,NaN,1.94444444444444,1.08519735312448,0.191617744171325,0.280056703019629,4.28285266720828,9.24194641161653
NaN,NaN,NaN,NaN,NaN,2,1.08285856455584,0.191204774688562,0.279453132237129,4.27362237667137,9.25575569838817
NaN,NaN,NaN,NaN,NaN,2.05555555555556,1.08071165115933,0.190825685391315,0.278899078648845,4.26514934295079,9.26843206561685
NaN,NaN,NaN,NaN,NaN,2.11111111111111,1.07873305671531,0.19047631686134,0.278388463105036,4.2573405987924,9.28011460009162
NaN,NaN,NaN,NaN,NaN,2.16666666666667,1.07690350374839,0.190153265195802,0.277916310670788,4.25012006348458,9.29091712492134
NaN,NaN,NaN,NaN,NaN,2.22222222222222,1.07520679937289,0.189853671150515,0.277478442450753,4.24342382999384,9.30093525037402
NaN,NaN,NaN,NaN,NaN,2.27777777777778,1.07362911828412,0.189575093534764,0.277071290550809,4.23719733520965,9.31025060742733
NaN,NaN,NaN,NaN,NaN,2.33333333333333,1.07215852708353,0.189315425219462,0.276691775320752,4.23139348264061,9.31893365637206
NaN,NaN,NaN,NaN,NaN,2.38888888888889,1.07078464398807,0.189072833050629,0.276337217535535,4.22597129941941,9.3270456960452
NaN,NaN,NaN,NaN,NaN,2.44444444444444,1.06833158946867,0.188639687160637,0.275704158157854,4.21629004553415,9.34152966170977
NaN,NaN,NaN,NaN,NaN,2.5,1.065874359422,0.188205803980681,0.275070021202535,4.20659231246374,9.35603828161385
NaN,NaN,NaN,NaN,NaN,2.55555555555556,1.06356490498411,0.187798014145605,0.274474020674346,4.19747779235303,9.36967436614352
NaN,NaN,NaN,NaN,NaN,2.61111111111111,1.06139047375581,0.187414065912021,0.273912865563723,4.1888961564331,9.38251321134716
NaN,NaN,NaN,NaN,NaN,2.66666666666667,1.05775902002497,0.18677284524376,0.272975696894727,4.17456421832786,9.40395498964193
NaN,NaN,NaN,NaN,NaN,2.72222222222222,1.0541040148459,0.186127465999761,0.272032450307343,4.16013933179935,9.4255358265532
NaN,NaN,NaN,NaN,NaN,2.77777777777778,1.05090937323047,0.185563375036932,0.271208009669362,4.14753132153835,9.44439846458368
NaN,NaN,NaN,NaN,NaN,2.83333333333333,1.04802527744133,0.185054118423378,0.27046371154186,4.13614891509637,9.46142749677722
NaN,NaN,NaN,NaN,NaN,2.88888888888889,1.04538248643701,0.184587469984636,0.269781686900622,4.12571884496295,9.4770317541887
NaN,NaN,NaN,NaN,NaN,2.94444444444444,1.0429417226461,0.184156494318944,0.269151799389226,4.11608609781162,9.49144314972165
NaN,NaN,NaN,NaN,NaN,3,1.04067663562466,0.183756538620424,0.268567248752927,4.10714667866973,9.50481726855449
NaN,NaN,NaN,NaN,NaN,3.05555555555556,1.03856738821981,0.183384100161693,0.268022915620937,4.09882229799589,9.51727123839019
NaN,NaN,NaN,NaN,NaN,3.11111111111111,1.03659795765588,0.183036349735584,0.267514664998162,4.09104972011472,9.52889966508887
NaN,NaN,NaN,NaN,NaN,3.16666666666667,1.03475486078799,0.182710906567945,0.267039017291613,4.08377573228769,9.53978215935872
NaN,NaN,NaN,NaN,NaN,3.22222222222222,1.03302647631749,0.182405718638446,0.266592973394652,4.07695446976051,9.54998733870879
NaN,NaN,NaN,NaN,NaN,3.27777777777778,1.03140264064857,0.18211899131932,0.266173910389776,4.07054582076619,9.55957521369793
