,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,1.952117864,0.6003683241,6.68333333333333,0.7300184162000001
1,1.0,1.837937385,0.6629834254,,
2,2.0,1.767955801,0.6998158379,,
3,3.0,1.694290976,0.7476979742000001,,
4,4.0,1.6243093919999998,0.7771639042,,
5,5.0,1.561694291,0.7992633517000001,,
6,6.0,1.5101289130000002,0.8360957643000001,,
7,6.68333333333333,1.4622467769999998,0.8397790055,,
8,7.0,1.447513812,0.8581952118,,
9,8.0,1.384898711,0.8729281768000001,,
10,9.0,1.337016575,0.9023941068000001,,
11,10.0,1.274401473,0.9244935543,,
12,11.0,1.226519337,0.9392265193000001,,
13,12.0,1.167587477,0.9613259668999999,,
14,13.0,1.1270718229999999,1.0018416209999998,,
15,14.0,1.068139963,1.009208103,,
16,15.0,1.0055248620000001,1.0276243090000001,,
17,16.0,0.9650092081,1.057090239,,
18,17.0,0.9060773481000001,1.079189687,,
19,18.0,0.8545119704999999,1.090239411,,
20,19.0,0.8029465929999999,1.112338858,,
21,20.0,0.7513812154999999,1.1344383059999998,,
22,21.0,0.7108655617,1.145488029,,
23,22.0,0.6593001842,1.1602209940000001,,
