,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,2.1100478469999997,0.6267942584,0.00037347155777777796,1.325358852
1,1.0,1.9665071769999998,0.7224880383,,
2,2.0,1.8612440190000001,0.7942583731999999,,
3,3.0,1.770334928,0.8564593301000001,,
4,4.0,1.684210526,0.9043062201000001,,
5,5.0,1.6076555019999998,0.9377990431000001,,
6,6.0,1.516746411,0.9856459329999999,,
7,7.0,1.4401913880000001,1.009569378,,
8,8.0,1.358851675,1.052631579,,
9,9.0,1.282296651,1.0765550240000001,,
10,10.0,1.220095694,1.110047847,,
11,11.0,1.1578947370000001,1.14354067,,
12,12.0,1.0909090909999999,1.1578947370000001,,
13,13.0,1.014354067,1.181818182,,
14,14.0,0.95215311,1.205741627,,
15,15.0,0.8947368420999999,1.215311005,,
16,16.0,0.8277511962,1.234449761,,
17,17.0,0.7703349281999999,1.248803828,,
18,18.0,0.7272727273,1.2727272729999999,,
19,19.0,0.6507177033,1.28708134,,
20,20.0,0.5980861244,1.296650718,,
21,21.0,0.5311004785,1.320574163,,
22,22.0,0.4736842105,1.325358852,,
23,23.0,0.40669856460000003,1.3444976080000002,,
