,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,2.021929825,0.6271929825,0.000375243664722222,1.328947368
1,1.0,1.894736842,0.7236842105,,
2,2.0,1.807017544,0.798245614,,
3,3.0,1.736842105,0.8377192981999999,,
4,4.0,1.6710526319999999,0.8903508772,,
5,5.0,1.614035088,0.9298245614,,
6,6.0,1.543859649,0.9736842105,,
7,7.0,1.486842105,1.021929825,,
8,8.0,1.425438596,1.057017544,,
9,9.0,1.368421053,1.087719298,,
10,10.0,1.315789474,1.118421053,,
11,11.0,1.25877193,1.1491228070000001,,
12,12.0,1.206140351,1.179824561,,
13,13.0,1.1491228070000001,1.206140351,,
14,14.0,1.1008771929999999,1.23245614,,
15,15.0,1.061403509,1.25877193,,
16,16.0,1.01754386,1.280701754,,
17,17.0,0.9736842105,1.311403509,,
18,18.0,0.9210526316,1.328947368,,
19,19.0,0.8859649123000001,1.350877193,,
