Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm),Time for Concentration (hours),FAH [M],Inorganic [M],Organic [M],Solvent [M],DCM [M]
0,2.017204301,0.6322580645,11.9333333333333,0.9548387097,0.0555555555555556,1.42724830304878,0.252015082247614,0.319865296698895,5.53696718936166,7.22231978894595
1,1.892473118,0.7182795699,NaN,NaN,0.111111111111111,1.40842206224099,0.248690855751457,0.31564608614608,5.46393135009732,7.33347860066286
2,1.802150538,0.7698924731,NaN,NaN,0.166666666666667,1.39483247852566,0.246291287259828,0.312600479983627,5.41121096571285,7.41371777283458
3,1.716129032,0.8086021505,NaN,NaN,0.222222222222222,1.38407545238023,0.244391875067157,0.310189687585237,5.36947940387101,7.47723221823775
4,1.643010753,0.864516129,NaN,NaN,0.277777777777778,1.37293157381825,0.242424154757833,0.307692196423404,5.32624705962639,7.54303081879295
5,1.574193548,0.8946236559,NaN,NaN,0.333333333333333,1.36220231392548,0.240529645366191,0.305287626810935,5.28462321613295,7.60638131942971
6,1.501075269,0.9204301075,NaN,NaN,0.388888888888889,1.35303711692024,0.238911308968692,0.303233584460263,5.24906710792553,7.66049687115645
7,1.427956989,0.9548387097,NaN,NaN,0.444444444444444,1.34200618147114,0.236963531487693,0.300761405349764,5.20627292311609,7.72562860346385
8,1.359139785,0.9849462366,NaN,NaN,0.5,1.33284415712894,0.235345755300311,0.298708074035011,5.17072912316025,7.77972542232417
9,1.294623656,1.010752688,NaN,NaN,0.555555555555556,1.32490031868353,0.23394307918929,0.296927754355637,5.13991123902903,7.82662950960736
10,1.225806452,1.040860215,NaN,NaN,0.611111111111111,1.31782689130632,0.232694095127839,0.295342505354565,5.11247008865576,7.86839428835657
11,1.161290323,1.058064516,NaN,NaN,0.666666666666667,1.31141653757473,0.231562192697511,0.293905859962226,5.08760131269843,7.90624397437532
11.9333333333333,1.101075269,1.079569892,NaN,NaN,0.722222222222222,1.30553526775096,0.230523712781163,0.292587789299169,5.06478510196871,7.94096970489537
12,1.101075269,1.079569892,NaN,NaN,0.777777777777778,1.30009087143144,0.229562373409926,0.291367627789521,5.04366372895836,7.97311593268309
13,1.04516129,1.109677419,NaN,NaN,0.833333333333333,1.29501660613465,0.228666389590302,0.290230417556922,5.02397826820257,8.0030767361428
14,0.9849462366,1.12688172,NaN,NaN,0.888888888888889,1.29026214135931,0.227826874259409,0.289164878867712,5.00553346402393,8.03114928977539
15,0.9247311828,1.144086022,NaN,NaN,0.944444444444444,1.28421689991426,0.226759441201877,0.287810059986997,4.98208113028388,8.06684318440016
16,0.8559139785,1.169892473,NaN,NaN,1,1.27853487198853,0.225756142244031,0.286536642078962,4.96003787255038,8.1003924988286
17,0.7913978495,1.182795699,NaN,NaN,1.05555555555556,1.27154591348332,0.224522073197495,0.284970323673743,4.93292441664473,8.14165853438551
18,0.7268817204,1.208602151,NaN,NaN,1.11111111111111,1.26494460356988,0.223356452851529,0.283490882465402,4.9073148318798,8.18063571380465
19,0.6494623656,1.225806452,NaN,NaN,1.16666666666667,1.25897181985,0.222301813951488,0.282152302323042,4.88414359572173,8.21590178458971
20,0.5849462366,1.238709677,NaN,NaN,1.22222222222222,1.25345962007199,0.221328502245703,0.280916945158007,4.86275918121808,8.24844835527927
21,0.5247311828,1.260215054,NaN,NaN,1.27777777777778,1.24830459991816,0.220418259210008,0.279761636689626,4.84276043440485,8.27888597267338
22,0.447311828,1.27311828,NaN,NaN,1.33333333333333,1.24343955151612,0.219559217674937,0.278671314741266,4.82388662434728,8.3076114630587
23,0.3827956989,1.294623656,NaN,NaN,1.38888888888889,1.2388186651355,0.218743288828652,0.277635712744058,4.80596003356372,8.33489530821892
NaN,NaN,NaN,NaN,NaN,1.44444444444444,1.2344093363462,0.217964715573306,0.276647523612274,4.78885417414089,8.36093001975221
NaN,NaN,NaN,NaN,NaN,1.5,1.23018741788076,0.217219234126919,0.275701335622628,4.77247536747539,8.38585817426672
NaN,NaN,NaN,NaN,NaN,1.55555555555556,1.22613436289835,0.216503569597793,0.274792992181815,4.75675166165184,8.40978928086777
NaN,NaN,NaN,NaN,NaN,1.61111111111111,1.22223545047061,0.215815122651277,0.273919194134314,4.74162594726808,8.43281025870828
NaN,NaN,NaN,NaN,NaN,1.66666666666667,1.21847865179114,0.215151769311728,0.273077245664885,4.72705155892877,8.45499213141101
NaN,NaN,NaN,NaN,NaN,1.72222222222222,1.21485388694482,0.21451172972722,0.272264887730703,4.71298939190407,8.47639441544547
NaN,NaN,NaN,NaN,NaN,1.77777777777778,1.21135252591936,0.213893480061114,0.271480186231414,4.69940596631884,8.49706806638599
NaN,NaN,NaN,NaN,NaN,1.83333333333333,1.20796704591113,0.213295691981143,0.270721455206836,4.68627209768103,8.51705750233594
NaN,NaN,NaN,NaN,NaN,1.88888888888889,1.20469079077676,0.212717190184792,0.269987202926851,4.67356196368104,8.53640202423687
NaN,NaN,NaN,NaN,NaN,1.94444444444444,1.20151779856526,0.21215692194594,0.269276093239078,4.661252435108,8.55513683419807
NaN,NaN,NaN,NaN,NaN,2,1.19820582870251,0.211572113853628,0.26853383681422,4.64840374688535,8.57469223233326
NaN,NaN,NaN,NaN,NaN,2.05555555555556,1.19301209457965,0.210655034933759,0.267369852031309,4.62825481038487,8.60535843486222
NaN,NaN,NaN,NaN,NaN,2.11111111111111,1.18810874176585,0.209789229831719,0.266270945555643,4.60923239950524,8.6343100921673
NaN,NaN,NaN,NaN,NaN,2.16666666666667,1.18352954707284,0.208980662657582,0.265244687219239,4.5914675503793,8.6613477703683
NaN,NaN,NaN,NaN,NaN,2.22222222222222,1.1791960379337,0.208215477188601,0.26427349027784,4.57465583102609,8.68693480770565
NaN,NaN,NaN,NaN,NaN,2.27777777777778,1.17505779691445,0.207484771011828,0.263346055515013,4.55860164851537,8.71136889197103
NaN,NaN,NaN,NaN,NaN,2.33333333333333,1.17108128400874,0.206782621830882,0.262454866169965,4.54317488539364,8.73484805883654
NaN,NaN,NaN,NaN,NaN,2.38888888888889,1.16724344161844,0.206104958271164,0.261594754728786,4.52828609039727,8.75750845099968
NaN,NaN,NaN,NaN,NaN,2.44444444444444,1.16352789995683,0.205448889852345,0.260762052504899,4.51387175742726,8.77944672323392
NaN,NaN,NaN,NaN,NaN,2.5,1.15992265815075,0.204812297531065,0.259954069943274,4.49988532945441,8.80073373423135
NaN,NaN,NaN,NaN,NaN,2.55555555555556,1.15641863174207,0.204193577227319,0.259168771096213,4.48629156359454,8.82142312282415
NaN,NaN,NaN,NaN,NaN,2.61111111111111,1.15300872325948,0.203591475711514,0.258404565326152,4.4730629254196,8.84155679575747
NaN,NaN,NaN,NaN,NaN,2.66666666666667,1.14968721612851,0.203004983584664,0.257660171472843,4.46017723764956,8.86116850632452
NaN,NaN,NaN,NaN,NaN,2.72222222222222,1.14644937259547,0.202433264282184,0.256934527742772,4.44761612031038,8.88028622840897
NaN,NaN,NaN,NaN,NaN,2.77777777777778,1.14329116274028,0.20187560622457,0.256226730977339,4.43536393944741,8.89893375651827
NaN,NaN,NaN,NaN,NaN,2.83333333333333,1.14020907911465,0.201331390087303,0.255535995110807,4.42340708801973,8.91713180024535
NaN,NaN,NaN,NaN,NaN,2.88888888888889,1.1372000081549,0.200800066095683,0.254861622352212,4.41173348704996,8.93489874350673
NaN,NaN,NaN,NaN,NaN,2.94444444444444,1.13426113976396,0.200281138059351,0.254202982921484,4.40033223485037,8.95225117841207
NaN,NaN,NaN,NaN,NaN,3,1.13138990288577,0.199774151996405,0.253559500610821,4.38919335708573,8.96920428566255
NaN,NaN,NaN,NaN,NaN,3.05555555555556,1.12858391899327,0.199278687920571,0.252930642360725,4.37830762633134,8.9857721091793
NaN,NaN,NaN,NaN,NaN,3.11111111111111,1.12584096806145,0.198794353832938,0.252315910634113,4.36766643006641,9.00196775701424
NaN,NaN,NaN,NaN,NaN,3.16666666666667,1.12315896333451,0.19832078126648,0.251714837761302,4.35726167278414,9.0178035503364
NaN,NaN,NaN,NaN,NaN,3.22222222222222,1.12053593234971,0.197857621935368,0.251126981687197,4.34708570237418,9.03329113547586
NaN,NaN,NaN,NaN,NaN,3.27777777777778,1.11797000245534,0.197404545177812,0.250551922725684,4.33713125394008,9.04844156943235
NaN,NaN,NaN,NaN,NaN,3.33333333333333,1.11497901493057,0.196876414252417,0.249881602704991,4.32552780711651,9.06610173975038
NaN,NaN,NaN,NaN,NaN,3.38888888888889,1.11182330855583,0.196319198244608,0.249174367002771,4.31328533843126,9.08473448615601
NaN,NaN,NaN,NaN,NaN,3.44444444444444,1.1087963953731,0.19578472377855,0.248495995565083,4.30154251908997,9.10260677813391
NaN,NaN,NaN,NaN,NaN,3.5,1.10585453882448,0.195265268110972,0.247836686448541,4.29012967442188,9.11997685650083
NaN,NaN,NaN,NaN,NaN,3.55555555555556,1.10245903925208,0.19466571083549,0.247075709906583,4.2769569351839,9.14002545258049
NaN,NaN,NaN,NaN,NaN,3.61111111111111,1.09895289782787,0.194046617074785,0.246289937056458,4.26335496418444,9.16072732920076
NaN,NaN,NaN,NaN,NaN,3.66666666666667,1.09555257892145,0.193446208829745,0.245527880437754,4.250163528484,9.18080438085198
NaN,NaN,NaN,NaN,NaN,3.72222222222222,1.09224393598168,0.19286198818586,0.244786369620514,4.23732774695977,9.20034013529889
NaN,NaN,NaN,NaN,NaN,3.77777777777778,1.08901689564059,0.192292176447257,0.244063147029211,4.22480854028127,9.21939407035376
NaN,NaN,NaN,NaN,NaN,3.83333333333333,1.08586409654186,0.191735473789087,0.243356562886148,4.21257735028649,9.2380096508605
NaN,NaN,NaN,NaN,NaN,3.88888888888889,1.08278001272923,0.191190904470604,0.242665378751151,4.20061273919306,9.25621950461445
NaN,NaN,NaN,NaN,NaN,3.94444444444444,1.07976037949956,0.190657715455694,0.241988638847611,4.18889816221237,9.2740488123907
NaN,NaN,NaN,NaN,NaN,4,1.07680181161124,0.190135308998375,0.241325584497937,4.17742048640071,9.29151756221745
NaN,NaN,NaN,NaN,NaN,4.05555555555556,1.07390154586935,0.189623197189994,0.240675596433454,4.16616899202586,9.30864206927243
NaN,NaN,NaN,NaN,NaN,4.11111111111111,1.07105726534943,0.189120970921705,0.240038155400626,4.15513469064852,9.32543601374661
NaN,NaN,NaN,NaN,NaN,4.16666666666667,1.06826697795072,0.188628278440111,0.239412814943218,4.14430985397328,9.341911157922
NaN,NaN,NaN,NaN,NaN,4.22222222222222,1.06552893156815,0.188144810368839,0.238799182391218,4.13368768476076,9.35807784703535
NaN,NaN,NaN,NaN,NaN,4.27777777777778,1.06284155423919,0.187670289140022,0.238196905446951,4.1232620846293,9.37394536267866
NaN,NaN,NaN,NaN,NaN,4.33333333333333,1.06020341151236,0.187204461466686,0.237605662630794,4.11302748866721,9.38952217451526
NaN,NaN,NaN,NaN,NaN,4.38888888888889,1.05761317581257,0.186747092933455,0.237025156415539,4.10297874658652,9.40481612116104
NaN,NaN,NaN,NaN,NaN,4.44444444444444,1.05506960424277,0.186297964076901,0.236455108251451,4.09311103660521,9.41983454125367
NaN,NaN,NaN,NaN,NaN,4.5,1.0525715223698,0.18585686752255,0.235895254932467,4.08341980254494,9.4345843691883
NaN,NaN,NaN,NaN,NaN,4.55555555555556,1.05011781228887,0.185423605877371,0.235345345921278,4.0739007075274,9.44907220559065
NaN,NaN,NaN,NaN,NaN,4.61111111111111,1.0477074037692,0.184997990166329,0.234805141364956,4.06454959962427,9.46330436959696
NaN,NaN,NaN,NaN,NaN,4.66666666666667,1.04533926763307,0.184579838663298,0.234274410611109,4.05536248617131,9.47728693794732
NaN,NaN,NaN,NaN,NaN,4.72222222222222,1.04301241076303,0.184168976009456,0.233752931088925,4.04633551439895,9.49102577446545
NaN,NaN,NaN,NaN,NaN,4.77777777777778,1.04072587230207,0.183765232542345,0.233240487457592,4.03746495669117,9.50452655249437
NaN,NaN,NaN,NaN,NaN,4.83333333333333,1.03847872073193,0.183368443779967,0.232736870951496,4.02874719925061,9.51779477214776
NaN,NaN,NaN,NaN,NaN,4.88888888888889,1.03627005159995,0.182978450019411,0.232241878870791,4.02017873328026,9.53083577373128
NaN,NaN,NaN,NaN,NaN,4.94444444444444,1.03380892040176,0.182543877997143,0.231690306688682,4.01063084825984,9.54536742783385
NaN,NaN,NaN,NaN,NaN,5,1.03117046289981,0.182077994742674,0.23109899332724,4.00039503113706,9.56094609824799
NaN,NaN,NaN,NaN,NaN,5.05555555555556,1.02863330363385,0.18162999813289,0.230530382245591,3.99055219749712,9.57592665714024
NaN,NaN,NaN,NaN,NaN,5.11111111111111,1.02616339832979,0.18119387683079,0.229976843669849,3.98097027359489,9.590510117612
NaN,NaN,NaN,NaN,NaN,5.16666666666667,1.02373842244897,0.180765688901088,0.229433374374457,3.971562652049,9.60482829403958
NaN,NaN,NaN,NaN,NaN,5.22222222222222,1.02134348280857,0.180342804593456,0.228896636599386,3.96227155520126,9.61896912264571
NaN,NaN,NaN,NaN,NaN,5.27777777777778,1.01896850142034,0.179923444396205,0.228364371733645,3.95305788579707,9.63299210852275
NaN,NaN,NaN,NaN,NaN,5.33333333333333,1.01660657803304,0.179506389903696,0.227835033339307,3.94389487451773,9.64693799393764
NaN,NaN,NaN,NaN,NaN,5.38888888888889,1.01425294336299,0.179090798983961,0.227307552556566,3.93476401906953,9.66083493894169
NaN,NaN,NaN,NaN,NaN,5.44444444444444,1.01174426903561,0.178647832076523,0.226745325327894,3.92503169189853,9.67564730961429
NaN,NaN,NaN,NaN,NaN,5.5,1.00897462022184,0.178158783834456,0.226124610251425,3.9142869219975,9.69200059406204
NaN,NaN,NaN,NaN,NaN,5.55555555555556,1.0062538128134,0.177678359719499,0.225514841182441,3.90373163087059,9.70806549631842
NaN,NaN,NaN,NaN,NaN,5.61111111111111,1.0035792877009,0.177206107859215,0.224915444590543,3.89335589052924,9.72385712654605
NaN,NaN,NaN,NaN,NaN,5.66666666666667,1.00094900324982,0.176741667753834,0.224325962918328,3.88315178051335,9.739387539497
NaN,NaN,NaN,NaN,NaN,5.72222222222222,0.998361288198987,0.176284744301919,0.223746021613974,3.87311281721504,9.7546666030684
