Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm),Time for Concentration (hours),FAH [M],Inorganic [M],Organic [M],Solvent [M],DCM [M]
0,1.950892857,0.5892857143,0.000363343253888889,1.285714286,0.0555555555555556,1.21662614959477,0.21069342184118,0.313974510979013,5.22191730149402,8.4659301590796
1,1.825892857,0.6875,NaN,NaN,0.111111111111111,1.21341118326683,0.210136658979422,0.313144825145805,5.20811824884569,8.48491280359012
2,1.736607143,0.7410714286,NaN,NaN,0.166666666666667,1.21102517089354,0.209723453072537,0.312529067323781,5.19787717413445,8.49900092149236
3,1.65625,0.7901785714,NaN,NaN,0.222222222222222,1.2091198736237,0.209393496658611,0.312037367569694,5.18969939102398,8.5102506756332
4,1.584821429,0.8348214286,NaN,NaN,0.277777777777778,1.20754208238823,0.209120257229669,0.311630187244212,5.18292730630974,8.5195666830434
5,1.522321429,0.8883928571,NaN,NaN,0.333333333333333,1.20620423668701,0.208888571194661,0.311284929623416,5.17718509896339,8.52746594131419
6,1.450892857,0.9285714286,NaN,NaN,0.388888888888889,1.20505005677281,0.208688692114614,0.310987070602169,5.17223120900715,8.53428075203925
7,1.388392857,0.9553571429,NaN,NaN,0.444444444444444,1.2040408238304,0.208513914725403,0.310726618022169,5.1678994502619,8.54023972896775
8,1.34375,1.008928571,NaN,NaN,0.5,1.20314865074824,0.208359409580485,0.310496375061115,5.16407012762635,8.54550753047262
9,1.272321429,1.03125,NaN,NaN,0.555555555555556,1.20235276155429,0.208221578729376,0.310290980067305,5.16065406793261,8.5502068274784
10,1.21875,1.058035714,NaN,NaN,0.611111111111111,1.2016372649767,0.208097670146367,0.310106331982822,5.15758306377993,8.55443144938588
11,1.169642857,1.080357143,NaN,NaN,0.666666666666667,1.20098974400943,0.207985533473689,0.309939226352949,5.15480381976713,8.55825471192771
12,1.116071429,1.111607143,NaN,NaN,0.722222222222222,1.20012430675492,0.207835658397766,0.309715883102554,5.15108925077307,8.56336465277083
13,1.071428571,1.133928571,NaN,NaN,0.777777777777778,1.19866611200816,0.20758313050248,0.309339567023304,5.14483048970696,8.57197450733274
14,1.017857143,1.15625,NaN,NaN,0.833333333333333,1.19671874730469,0.207245888915914,0.308837010933519,5.13647214771279,8.58347264701061
15,0.9732142857,1.183035714,NaN,NaN,0.888888888888889,1.19501612762875,0.206951031892056,0.308397616152868,5.12916428313449,8.59352569912629
16,0.9285714286,1.214285714,NaN,NaN,0.944444444444444,1.19350839856225,0.206689925720423,0.308008516759845,5.1226929143406,8.60242802716587
17,0.8705357143,1.227678571,NaN,NaN,1,1.19216180791984,0.20645672525012,0.307661002333511,5.11691317257197,8.61037891960411
18,0.8392857143,1.254464286,NaN,NaN,1.05555555555556,1.19095086281273,0.206247015662369,0.307348493928235,5.11171563904199,8.61752889821827
19,0.7901785714,1.267857143,NaN,NaN,1.11111111111111,1.18985548168067,0.206057319263839,0.307065809099054,5.10701412108828,8.62399653380526
20,0.7410714286,1.285714286,NaN,NaN,1.16666666666667,1.1888594879432,0.205884834619522,0.306808773158503,5.10273918672854,8.62987734035952
21,0.7053571429,1.308035714,NaN,NaN,1.22222222222222,1.1879496531344,0.20572727084429,0.30657397223855,5.0988340576705,8.63524942484717
NaN,NaN,NaN,NaN,NaN,1.27777777777778,1.18711503311151,0.205582732648544,0.306358581986066,5.09525176023331,8.6401774065365
NaN,NaN,NaN,NaN,NaN,1.33333333333333,1.18634648538526,0.205449636750231,0.306160243000344,5.09195305366674,8.64471526690225
NaN,NaN,NaN,NaN,NaN,1.38888888888889,1.1856363078794,0.20532664931578,0.305976967607828,5.0889048796601,8.64890848255617
NaN,NaN,NaN,NaN,NaN,1.44444444444444,1.18497796309621,0.205212638191519,0.305807068677557,5.08607917842493,8.65279565390099
NaN,NaN,NaN,NaN,NaN,1.5,1.18436586424041,0.205106635864939,0.305649104426183,5.08345197071085,8.65640976795379
NaN,NaN,NaN,NaN,NaN,1.55555555555556,1.1837952072893,0.205007810382874,0.305501835080362,5.08100263702918,8.6597791898809
NaN,NaN,NaN,NaN,NaN,1.61111111111111,1.18283590371494,0.204841679683864,0.305254267764189,5.07688518161034,8.6654433607842
NaN,NaN,NaN,NaN,NaN,1.66666666666667,1.18185095143733,0.20467110718237,0.305000081291375,5.07265763862906,8.67125897346515
NaN,NaN,NaN,NaN,NaN,1.72222222222222,1.18097923279302,0.204520144305142,0.30477511700374,5.06891610909485,8.67640600253182
NaN,NaN,NaN,NaN,NaN,1.77777777777778,1.17964005816228,0.20428822812819,0.304429516426323,5.0631681978106,8.68431310741559
NaN,NaN,NaN,NaN,NaN,1.83333333333333,1.17813906521282,0.204028288506816,0.304042155421921,5.05672574130513,8.69317566231225
NaN,NaN,NaN,NaN,NaN,1.88888888888889,1.17677029501944,0.203791247016417,0.303688917122504,5.05085080202574,8.70125751305257
NaN,NaN,NaN,NaN,NaN,1.94444444444444,1.17551660746608,0.20357413535839,0.30336537818113,5.04546981237025,8.70865986278977
NaN,NaN,NaN,NaN,NaN,2,1.17436388972591,0.203374509495364,0.303067896502895,5.04052219825467,8.71546604016475
NaN,NaN,NaN,NaN,NaN,2.05555555555556,1.17330031783052,0.203190321770904,0.302793420678209,5.0359572096723,8.72174585934234
NaN,NaN,NaN,NaN,NaN,2.11111111111111,1.17231587505952,0.20301983750497,0.30253936569368,5.03173185355946,8.72755846366124
NaN,NaN,NaN,NaN,NaN,2.16666666666667,1.17140200507657,0.202861574924562,0.302303523416994,5.02780940501035,8.73295437367885
NaN,NaN,NaN,NaN,NaN,2.22222222222222,1.17055134899609,0.202714259629336,0.302083994741756,5.02415827873316,8.73797703965086
NaN,NaN,NaN,NaN,NaN,2.27777777777778,1.16975754020008,0.202576789058303,0.301879136635903,5.02075114837736,8.74266405302733
NaN,NaN,NaN,NaN,NaN,2.33333333333333,1.16901504123651,0.202448204244144,0.301687520050096,5.01756424648027,8.74704810947991
