Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm),Time for Concentration (hours),FAH [M],Inorganic [M],Organic [M],Solvent [M],DCM [M]
0,2.07032967,0.6197802198,16.3222222222222,1.23956044,0.0555555555555556,1.22745978734501,0.208401543485007,0.32510640783661,4.92530632652827,8.40196336341483
1,1.907692308,0.7208791209,NaN,NaN,0.111111111111111,1.17083168432549,0.19878706633833,0.310107823487794,4.69808034573703,8.73632181052585
2,1.797802198,0.7824175824,NaN,NaN,0.166666666666667,1.13818163970877,0.193243650771374,0.301460095203343,4.5670687452185,8.92910273791085
3,1.705494505,0.843956044,NaN,NaN,0.222222222222222,1.11616109762947,0.189504941768427,0.295627709158746,4.47870909683333,9.0591221781107
4,1.630769231,0.8923076923,NaN,NaN,0.277777777777778,1.09997689835145,0.186757143311499,0.291341143565938,4.41376836320145,9.15468115765959
5,1.556043956,0.9362637363,NaN,NaN,0.333333333333333,1.08741528257405,0.184624397177029,0.288014059596165,4.36336361161793,9.22885073284546
6,1.472527473,0.9846153846,NaN,NaN,0.388888888888889,1.05857972062097,0.179728615107235,0.280376639567286,4.24765800791449,9.39910919467103
7,1.402197802,1.006593407,NaN,NaN,0.444444444444444,1.02952972257926,0.174796425480701,0.272682423749894,4.13109195775494,9.57063378609977
8,1.331868132,1.050549451,NaN,NaN,0.5,1.00781304775831,0.171109307907719,0.266930520336042,4.04395160742366,9.69885905380911
9,1.27032967,1.072527473,NaN,NaN,0.555555555555556,0.990718960330152,0.168207026104907,0.262402960723655,3.97535985572299,9.79979043279754
10,1.2,1.112087912,NaN,NaN,0.611111111111111,0.976774129177911,0.165839433809235,0.258709516742407,3.91940481279237,9.88212714973969
11,1.142857143,1.142857143,NaN,NaN,0.666666666666667,0.965096829414886,0.163856829312174,0.255616653726992,3.87254846850104,9.9510753151739
12,1.076923077,1.182417582,NaN,NaN,0.722222222222222,0.955121161283843,0.162163132575844,0.252974486818316,3.83252009293736,10.0099762623598
13,1.015384615,1.182417582,NaN,NaN,0.777777777777778,0.946464073544498,0.160693308093148,0.25068156062531,3.7977826543251,10.061091702551
14,0.9582417582,1.235164835,NaN,NaN,0.833333333333333,0.93885519484251,0.159401451462052,0.248666264280801,3.7672512603071,10.1060180329664
15.0055555555556,0.9010989011,1.235164835,NaN,NaN,0.888888888888889,0.929098409180176,0.157744917201259,0.246082070833964,3.72810117274845,10.1636265970698
16.0055555555556,0.8483516484,1.261538462,NaN,NaN,0.944444444444444,0.914059012328911,0.155191486490778,0.242098718925615,3.66775407443827,10.252426134906
16.3222222222222,0.8263736264,1.279120879,NaN,NaN,1,0.895779667753605,0.152087968426347,0.237257230745101,3.59440635876583,10.3603558189412
17.0055555555556,0.7868131868,1.296703297,NaN,NaN,1.05555555555556,0.88046766850128,0.149488254520503,0.233201677051984,3.53296541579824,10.4507649271256
NaN,NaN,NaN,NaN,NaN,1.11111111111111,0.867361567181191,0.147263064113178,0.229730380016557,3.48037586100103,10.5281493961684
NaN,NaN,NaN,NaN,NaN,1.16666666666667,0.85595516938847,0.145326454107607,0.226709268407867,3.43460653821701,10.5954980313821
NaN,NaN,NaN,NaN,NaN,1.22222222222222,0.845896031613301,0.143618585662477,0.224044993633463,3.39424323227879,10.6548918218579
NaN,NaN,NaN,NaN,NaN,1.27777777777778,0.836929451139196,0.142096214640752,0.221670094839573,3.35826392282055,10.7078346499478
NaN,NaN,NaN,NaN,NaN,1.33333333333333,0.82886564159029,0.140727118582627,0.219534304988898,3.32590707284744,10.7554471019779
NaN,NaN,NaN,NaN,NaN,1.38888888888889,0.82155952791676,0.139486666241835,0.217599199337262,3.29659055407463,10.7985857679765
NaN,NaN,NaN,NaN,NaN,1.44444444444444,0.814897789421601,0.138355617714626,0.215834763634816,3.26985965576402,10.8379197456225
NaN,NaN,NaN,NaN,NaN,1.5,0.808790257171045,0.137318663868135,0.214217115634291,3.24535256596501,10.8739814339025
NaN,NaN,NaN,NaN,NaN,1.55555555555556,0.803164029293986,0.136363427219516,0.212726946462445,3.22277675855929,10.9072012790987
NaN,NaN,NaN,NaN,NaN,1.61111111111111,0.797959339543132,0.135479760488743,0.211348426362439,3.20189241544533,10.93793216871
NaN,NaN,NaN,NaN,NaN,1.66666666666667,0.791488505177674,0.134381124196703,0.209634553746857,3.17592753922968,10.9761389602955
NaN,NaN,NaN,NaN,NaN,1.72222222222222,0.782317455859006,0.132824037884718,0.207205499100159,3.13912777788854,11.0302890667808
NaN,NaN,NaN,NaN,NaN,1.77777777777778,0.774423881184984,0.131483844778075,0.205114797853797,3.10745401253858,11.0768963735672
NaN,NaN,NaN,NaN,NaN,1.83333333333333,0.766332691015136,0.13011009996182,0.202971755940439,3.07498729505948,11.1246704934161
NaN,NaN,NaN,NaN,NaN,1.88888888888889,0.755124268204712,0.128207102700478,0.200003080212746,3.03001236688036,11.1908501929933
NaN,NaN,NaN,NaN,NaN,1.94444444444444,0.745071479140246,0.126500312157144,0.197340486965144,2.98967453578484,11.2502064977519
NaN,NaN,NaN,NaN,NaN,2,0.73597604565648,0.12495606411234,0.194931460015251,2.95317819061576,11.3039101334606
NaN,NaN,NaN,NaN,NaN,2.05555555555556,0.727686939886358,0.123548716633902,0.192735997948888,2.91991731680811,11.3528528383272
NaN,NaN,NaN,NaN,NaN,2.11111111111111,0.720086450694392,0.122258284397199,0.190722923659631,2.88941958654611,11.3977296332047
