,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,2.130841121,0.6121495327,0.000371235721666667,1.322429907
1,1.0,1.96728972,0.7196261681999999,,
2,2.0,1.85046729,0.7943925234,,
3,3.0,1.752336449,0.8504672897,,
4,4.0,1.663551402,0.9112149533,,
5,5.0,1.574766355,0.9485981308,,
6,6.0,1.5,1.0,,
7,7.0,1.425233645,1.023364486,,
8,8.0,1.359813084,1.065420561,,
9,9.0,1.289719626,1.102803738,,
10,10.0,1.219626168,1.11682243,,
11,11.0,1.154205607,1.154205607,,
12,12.005555555555599,1.093457944,1.177570093,,
13,13.005555555555599,1.03271028,1.2009345790000001,,
14,14.005555555555599,0.9719626168000001,1.219626168,,
15,15.005555555555599,0.9158878505,1.242990654,,
16,16.0055555555556,0.8551401868999999,1.271028037,,
17,17.0055555555556,0.7990654206000001,1.289719626,,
18,18.005555555555603,0.7523364486,1.303738318,,
19,19.005555555555603,0.7009345793999999,1.322429907,,
20,20.005555555555603,0.6448598131000001,1.336448598,,
