,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,2.159021407,0.6666666667,0.000378865103611111,1.339449541
1,1.0,2.006116208,0.7400611621,,
2,2.0,1.9204892969999998,0.8012232415999999,,
3,3.0,1.847094801,0.8440366972,,
4,4.0,1.7675840980000002,0.8868501529,,
5,5.0,1.6941896019999998,0.9235474006000001,,
6,6.0,1.620795107,0.9602446483,,
7,7.0,1.547400612,0.9908256881,,
8,8.0,1.49235474,1.01529052,,
9,9.0,1.4311926609999999,1.04587156,,
10,10.0,1.363914373,1.076452599,,
11,11.0,1.302752294,1.113149847,,
12,12.0,1.235474006,1.1253822629999999,,
13,13.0,1.186544343,1.149847095,,
14,14.0,1.149847095,1.162079511,,
15,15.0,1.088685015,1.186544343,,
16,16.0,1.039755352,1.217125382,,
17,17.0,0.9908256881,1.235474006,,
18,18.0,0.9480122324,1.25382263,,
19,19.0,0.8868501529,1.259938838,,
20,20.0,0.8318042813,1.278287462,,
21,21.0,0.7828746177,1.296636086,,
22,22.0,0.7339449540999999,1.327217125,,
23,23.005555555555603,0.6850152905,1.327217125,,
24,24.005555555555603,0.6422018349,1.339449541,,
25,25.005555555555603,0.5871559633,1.363914373,,
