,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,2.157181572,0.6341463414999999,0.000332731105,1.176151762
1,1.0,2.027100271,0.7154471545000001,,
2,2.0,1.9457994580000002,0.7533875339,,
3,3.0,1.848238482,0.7913279133,,
4,4.0,1.7723577240000001,0.8292682926999999,,
5,5.0,1.685636856,0.8672086721,,
6,6.0,1.6043360430000002,0.8888888889,,
7,7.0,1.528455285,0.9159891599,,
8,8.0,1.463414634,0.9485094851000001,,
9,9.0,1.387533875,0.9647696477,,
10,10.0,1.333333333,0.9864498645,,
11,11.0,1.25203252,0.9972899729000001,,
12,12.0,1.18699187,1.01897019,,
13,13.0,1.132791328,1.029810298,,
14,14.005555555555599,1.0731707320000001,1.051490515,,
15,15.005555555555599,1.0135501359999999,1.056910569,,
16,16.0055555555556,0.9485094851000001,1.067750678,,
17,17.0055555555556,0.8943089431,1.078590786,,
18,18.005555555555603,0.8292682926999999,1.094850949,,
19,19.005555555555603,0.7588075881,1.105691057,,
20,20.005555555555603,0.7100271003,1.12195122,,
21,21.005555555555603,0.6449864499,1.1273712740000001,,
22,22.005555555555603,0.5907859079,1.149051491,,
23,23.005555555555603,0.5257452575,1.149051491,,
24,24.005555555555603,0.4715447154,1.149051491,,
25,25.005555555555603,0.4173441734,1.165311653,,
26,26.005555555555603,0.3685636856,1.170731707,,
27,27.005555555555603,0.3143631436,1.176151762,,
28,28.005555555555603,0.2493224932,1.197831978,,
