,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,1.991803279,0.6229508197,4.2833333333333306,0.6901639344
1,1.0,1.844262295,0.7090163934,,
2,2.0,1.7377049180000002,0.7745901639,,
3,3.0,1.643442623,0.8278688525,,
4,4.0,1.553278689,0.8647540984000001,,
5,4.2833333333333306,1.528688525,0.8811475409999999,,
6,5.0,1.4754098359999999,0.9016393443,,
7,6.0,1.381147541,0.9385245902,,
8,7.0,1.299180328,0.9672131148,,
9,8.0,1.2295081970000001,1.0,,
10,9.0,1.1516393440000001,1.0245901640000001,,
11,10.0,1.073770492,1.049180328,,
12,11.0,1.004098361,1.081967213,,
13,12.0,0.9303278689,1.118852459,,
14,13.0,0.8524590164,1.1516393440000001,,
15,14.0,0.7786885245999999,1.176229508,,
16,15.0,0.7008196721,1.200819672,,
17,16.0,0.6106557377,1.2254098359999999,,
18,17.0,0.5409836066,1.25,,
19,18.0,0.4836065574,1.282786885,,
20,19.0,0.4016393443,1.295081967,,
