,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,2.118055556,0.6805555556,12.583333333333302,0.9947619048
1,1.0,1.9791666669999999,0.7638888889,,
2,2.0,1.9027777780000001,0.8402777778,,
3,3.0,1.8194444440000002,0.8819444444,,
4,4.0,1.75,0.9375,,
5,5.0,1.6805555559999998,0.9791666667,,
6,6.0,1.6180555559999998,1.020833333,,
7,7.0,1.5416666669999999,1.0555555559999998,,
8,8.0,1.486111111,1.083333333,,
9,9.0,1.4444444440000002,1.111111111,,
10,10.0,1.388888889,1.1319444440000002,,
11,11.0,1.3194444440000002,1.152777778,,
12,12.0,1.277777778,1.1805555559999998,,
13,12.583333333333302,1.16838488,1.1615120270000001,,
14,13.0,1.229166667,1.201388889,,
15,14.0,1.173611111,1.229166667,,
16,15.0,1.1319444440000002,1.25,,
17,16.0,1.0694444440000002,1.277777778,,
18,17.0,1.04467354,1.326460481,,
19,18.0,0.9896907215999999,1.35395189,,
20,19.0,0.9347079037999999,1.367697595,,
21,20.0,0.8865979381,1.402061856,,
