,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,2.077419355,0.6150537634000001,0.000324970131388889,1.165591398
1,1.0,1.92688172,0.6967741934999999,,
2,2.0,1.827956989,0.7440860215,,
3,3.0,1.7204301080000002,0.7870967742,,
4,4.0,1.634408602,0.8344086022,,
5,5.0,1.544086022,0.8688172043000001,,
6,6.0,1.4580645159999999,0.8989247312,,
7,7.0,1.372043011,0.9247311828,,
8,8.0,1.2903225809999999,0.9462365590999999,,
9,9.0,1.208602151,0.9763440859999999,,
10,10.0,1.135483871,0.9978494623999999,,
11,11.0,1.066666667,1.015053763,,
12,12.0,1.010752688,1.027956989,,
13,13.0,0.9247311828,1.04516129,,
14,14.0,0.8516129031999999,1.0623655909999998,,
15,15.0,0.7784946237,1.0709677420000001,,
16,16.0,0.7096774194,1.092473118,,
17,17.0,0.623655914,1.109677419,,
18,18.0,0.5548387097,1.12688172,,
19,19.0,0.4903225806,1.135483871,,
20,20.0,0.4172043011,1.148387097,,
21,21.0,0.335483871,1.156989247,,
22,22.0,0.2666666667,1.165591398,,
23,23.0,0.19784946239999998,1.169892473,,
