,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,2.250825083,0.6402640264,0.000379537953888889,1.353135314
1,1.0,2.1056105609999998,0.7458745875,,
2,2.0,2.00660066,0.8184818481999999,,
3,3.0,1.907590759,0.8712871287,,
4,4.0,1.808580858,0.904290429,,
5,5.0,1.7425742569999998,0.9504950495000001,,
6,6.0,1.6633663369999998,0.9834983498000001,,
7,7.0,1.5709570959999999,1.02970297,,
8,8.0,1.511551155,1.056105611,,
9,9.0,1.458745875,1.075907591,,
10,10.0,1.366336634,1.102310231,,
11,11.0,1.287128713,1.135313531,,
12,12.0,1.2277227720000001,1.1485148509999998,,
13,13.0,1.1683168320000001,1.1683168320000001,,
14,14.0,1.115511551,1.194719472,,
15,15.0,1.056105611,1.2079207920000001,,
16,16.0,1.00330033,1.2277227720000001,,
17,17.0,0.9438943893999999,1.2475247520000001,,
18,18.0,0.8976897690000001,1.267326733,,
19,19.0,0.8316831683,1.280528053,,
20,20.0,0.7590759076000001,1.293729373,,
21,21.0,0.7062706270999999,1.320132013,,
22,22.0,0.6534653465,1.326732673,,
23,23.0,0.6072607261,1.353135314,,
24,24.0,0.5280528053,1.353135314,,
25,25.0,0.4620462046,1.366336634,,
