,Time for Concentration (hours),FAH [M],Inorganic [M],Organic [M],Solvent [M],DCM [M]
0,0.0555555555555556,1.30897688676087,0.26669009256316,0.31558327619973997,4.77737974345621,7.92064879837823
1,0.111111111111111,1.29108560734531,0.26304493502702,0.311269839781974,4.712081848031991,8.02628716666607
2,0.166666666666667,1.27929659254328,0.26064304888175605,0.308427607843411,4.669055419467691,8.09589494923329
3,0.222222222222222,1.27125718530232,0.25900510532222604,0.306489374631301,4.63971395309745,8.14336331877857
4,0.277777777777778,1.26528137300603,0.257787597243545,0.30504865673819503,4.617903999916651,8.17864727167607
5,0.33333333333333304,1.26060163527743,0.2568341505474,0.30392041148109006,4.60082433681836,8.20627860234741
6,0.38888888888888895,1.2539164631424398,0.255472117960337,0.302308672919733,4.576425429349321,8.24575094301461
7,0.444444444444444,1.2450902595074,0.25367387301940897,0.300180749739634,4.5442123880923395,8.297864921480059
8,0.5,1.23633716594855,0.251890523477462,0.298070452781663,4.51226617706021,8.349547224324409
9,0.555555555555556,1.2292917296775,0.25045509091155604,0.296371857578675,4.48655241170228,8.391146730668401
10,0.6111111111111109,1.22344512770555,0.249263908059628,0.294962291203893,4.46521403811344,8.42566776619637
11,0.666666666666667,1.21849142857751,0.248254644647608,0.29376799616633603,4.44713449667245,8.45491669136938
12,0.7222222222222221,1.21422825455617,0.24738606836802396,0.292740180902162,4.43157516830053,8.480088437720259
13,0.7777777777777779,1.2105134693009099,0.246629220456042,0.29184457753965004,4.418017297256919,8.50202224378245
14,0.833333333333333,1.2064235909438799,0.24579595132146898,0.29085854239707104,4.40309044697126,8.526170772576691
15,0.8888888888888891,1.2011601066056101,0.24472357247385604,0.28958956076073,4.38388028083926,8.5572488125585
16,0.944444444444444,1.19649601125222,0.24377331274498001,0.288465086748226,4.366857707799061,8.58478778342955
17,1.0,1.19147554308677,0.24275044585306,0.287254694259454,4.34853447905536,8.61443094380514
18,1.05555555555556,1.1848402822530602,0.24139858216179103,0.285654988891453,4.324317733121879,8.65360858512168
19,1.11111111111111,1.17905644360479,0.240220186668274,0.28426055422412394,4.30320842716153,8.6877590370291
20,1.16666666666667,1.17395857508175,0.239181550278254,0.283031501162601,4.28460270993069,8.71785920482657
21,1.22222222222222,1.16942612682286,0.23825811224208399,0.281938766153133,4.26806060997514,8.74462087051282
22,1.27777777777778,1.16536724171791,0.23743115765236703,0.280960203221968,4.2532468759226205,8.76858640084717
