,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,1.978632479,0.6025641025999999,0.000367996201388889,1.3162393159999999
1,1.0,1.8418803419999998,0.7094017094,,
2,2.0,1.735042735,0.7777777778,,
3,3.0,1.64957265,0.8333333333,,
4,4.0,1.568376068,0.8803418803,,
5,5.0,1.4914529909999998,0.9102564103,,
6,6.0,1.418803419,0.9658119658,,
7,7.0,1.354700855,0.9829059829000001,,
8,8.0,1.282051282,1.025641026,,
9,9.0,1.222222222,1.0641025640000001,,
10,10.0,1.162393162,1.081196581,,
11,11.0,1.098290598,1.111111111,,
12,12.0,1.042735043,1.136752137,,
13,13.0,0.9829059829000001,1.158119658,,
14,14.0,0.9316239316,1.1837606840000001,,
15,15.0,0.8675213675,1.205128205,,
16,16.0,0.8162393162,1.222222222,,
17,17.0,0.7606837606999999,1.247863248,,
18,18.0,0.6923076923,1.277777778,,
19,19.0,0.6282051282,1.282051282,,
20,20.0,0.5512820513000001,1.299145299,,
21,21.0,0.5,1.3162393159999999,,
22,22.0,0.4358974359,1.324786325,,
