,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,1.969565217,0.6130434782999999,13.3,0.9513043478000001
1,1.0,1.843478261,0.7043478261,,
2,2.0,1.743478261,0.7608695651999999,,
3,3.0,1.6478260869999999,0.8086956522,,
4,4.0,1.560869565,0.8608695651999999,,
5,5.0,1.482608696,0.8956521739,,
6,6.0,1.404347826,0.9391304348,,
7,7.0,1.32173913,0.9695652173999999,,
8,8.0,1.247826087,0.9956521739,,
9,9.0,1.17826087,1.02173913,,
10,10.0,1.108695652,1.047826087,,
11,11.0,1.034782609,1.073913043,,
12,12.0,0.9782608695999999,1.095652174,,
13,13.0,0.9130434783,1.126086957,,
14,13.3,0.9,1.1304347829999999,,
15,14.0,0.852173913,1.139130435,,
16,15.0,0.7826086956999999,1.152173913,,
17,16.0,0.7173913043000001,1.17826087,,
18,17.0,0.6391304348,1.1956521740000001,,
19,18.0,0.5739130435,1.22173913,,
20,19.0,0.5130434783,1.247826087,,
