,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,2.038167939,0.6335877863,0.00037531806611111097,1.34351145
1,1.0,1.9007633590000002,0.7480916031,,
2,2.0,1.809160305,0.8167938931000001,,
3,3.0,1.72519084,0.8778625954000001,,
4,4.0,1.6412213740000001,0.9083969465999999,,
5,5.0,1.564885496,0.9618320611,,
6,6.005555555555559,1.4885496180000002,0.9847328244,,
7,7.005555555555559,1.4045801530000002,1.015267176,,
8,8.00555555555556,1.328244275,1.053435115,,
9,9.00555555555556,1.259541985,1.091603053,,
10,10.005555555555599,1.183206107,1.106870229,,
11,11.005555555555599,1.1145038170000001,1.13740458,,
12,12.005555555555599,1.053435115,1.145038168,,
13,13.005555555555599,0.9770992366,1.167938931,,
14,14.005555555555599,0.9312977098999999,1.1984732820000001,,
15,15.005555555555599,0.8702290076000001,1.213740458,,
16,16.0055555555556,0.8091603053,1.244274809,,
17,17.016666666666698,0.7557251908,1.244274809,,
18,18.016666666666698,0.6793893129999999,1.259541985,,
19,19.016666666666698,0.6183206107,1.297709924,,
20,20.016666666666698,0.572519084,1.305343511,,
21,21.016666666666698,0.4961832061,1.328244275,,
22,22.016666666666698,0.44274809159999995,1.34351145,,
23,23.016666666666698,0.3816793893,1.3358778629999999,,
24,24.016666666666698,0.33587786259999997,1.34351145,,
25,25.016666666666698,0.2671755725,1.351145038,,
