,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,2.2072829130000002,0.5994397759000001,0.00035498248972222203,1.260744986
1,0.7944444444444441,2.114942529,0.6896551724,,
2,3.85,1.845272206,0.8595988539,,
3,4.85,1.76504298,0.888252149,,
4,5.85,1.684813754,0.9169054441,,
5,6.85,1.616045845,0.9512893983,,
6,7.85,1.535816619,0.9799426934000001,,
7,8.85,1.455587393,1.014326648,,
8,9.85,1.381088825,1.037249284,,
9,10.85,1.312320917,1.048710602,,
10,11.85,1.255014327,1.088825215,,
11,12.85,1.191977077,1.094555874,,
12,13.85,1.1232091690000001,1.106017192,,
13,14.85,1.054441261,1.128939828,,
14,15.85,1.00286533,1.146131805,,
15,16.85,0.9398280802,1.163323782,,
16,17.85,0.9054441261,1.1805157590000002,,
17,18.85,0.8309455587000001,1.1805157590000002,,
18,19.85,0.7679083095,1.197707736,,
19,20.85,0.6991404011,1.209169054,,
20,21.85,0.6361031519,1.220630372,,
21,22.85,0.5845272206000001,1.23782235,,
22,23.85,0.5329512894,1.249283668,,
23,25.85,0.4068767908,1.255014327,,
24,26.85,0.3553008596,1.260744986,,
25,27.85,0.2865329513,1.277936963,,
