,Time for Concentration (hours),FAH [M],Inorganic [M],Organic [M],Solvent [M],DCM [M]
0,0.0555555555555556,1.34763878371035,0.237958103149506,0.343208802619479,5.03932658512824,7.69237112109246
1,0.111111111111111,1.3452317796125501,0.237533088571187,0.34259580082382796,5.03032589452246,7.7065831838213095
2,0.166666666666667,1.3431103354352298,0.23715849647835396,0.342055523766857,5.02239301950367,7.719109169029
3,0.222222222222222,1.3411911937741101,0.23681962576991397,0.34156676793737606,5.0152166294275995,7.73044066684342
4,0.277777777777778,1.33942833162947,0.23650834997619197,0.34111781246566103,5.00862462704629,7.740849418288749
5,0.33333333333333304,1.3377926418955601,0.23621952953622896,0.34070124452340605,5.0025081699802305,7.7505072851467895
6,0.38888888888888895,1.3362639582091498,0.23594960359262102,0.340311928258588,4.99679184863781,7.7595333389303205
7,0.444444444444444,1.33427436463182,0.23559829290060103,0.339805230145097,4.98935201243763,7.771280817362849
8,0.5,1.3320567668541499,0.235206722572482,0.339240465248771,4.98105958306321,7.78437453779004
9,0.555555555555556,1.33004436361987,0.23485138428585,0.338727958104591,4.97353445300529,7.79625669496108
10,0.6111111111111109,1.3282070827211698,0.234526968067728,0.33826005009768395,4.96666417100609,7.8071048490654595
11,0.666666666666667,1.32652084612452,0.234229222361052,0.337830609174594,4.96035870027238,7.817061167922231
12,0.7222222222222221,1.32496607189937,0.23395468950409098,0.337434648323208,4.9545448166253605,7.82624127228406
13,0.7777777777777779,1.32352662207237,0.23370051994875402,0.33706805761839503,4.9491621741333205,7.83474044819116
14,0.833333333333333,1.3221890438508799,0.23346433828030802,0.336727410981213,4.94416046776161,7.84263812713818
15,0.8888888888888891,1.32094201009176,0.23324414441866398,0.33640982368076505,4.9394973410759695,7.8500011898043205
16,0.944444444444444,1.31977589876191,0.23303823936200802,0.33611284523366497,4.9351368136878,7.8568864491122605
17,1.0,1.3183280338998402,0.23278258392944,0.335744111436692,4.92972270422517,7.865435311268951
18,1.05555555555556,1.3166520774834398,0.23248665343632396,0.335317288610082,4.923455674939031,7.875330931198469
19,1.11111111111111,1.3150797143895,0.23220901484071502,0.334916848327953,4.91757601991828,7.884614888356731
20,1.16666666666667,1.31358420160101,0.231944946018501,0.33453597983437605,4.911983736997571,7.89344508585462
21,1.22222222222222,1.31215225704463,0.23169210169955498,0.334171300528203,4.90662915952574,7.90189994718129
22,1.27777777777778,1.31077609717685,0.231449107511702,0.33382082814187797,4.901483181915951,7.910025429968639
23,1.33333333333333,1.30945046299639,0.23121503485153103,0.333483223343555,4.89652613879098,7.91785258578671
24,1.38888888888889,1.3081713991164698,0.23098918530018803,0.333157478798348,4.89174323947693,7.92540476906399
25,1.44444444444444,1.3069357043441898,0.230770993609923,0.33284277924508193,4.88712251351362,7.93270088112024
