,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,2.07032967,0.6197802198,16.322222222222198,1.23956044
1,1.0,1.9076923080000001,0.7208791209000001,,
2,2.0,1.797802198,0.7824175823999999,,
3,3.0,1.705494505,0.843956044,,
4,4.0,1.630769231,0.8923076923000001,,
5,5.0,1.556043956,0.9362637362999999,,
6,6.0,1.4725274730000002,0.9846153846,,
7,7.0,1.4021978019999999,1.006593407,,
8,8.0,1.331868132,1.050549451,,
9,9.0,1.27032967,1.072527473,,
10,10.0,1.2,1.112087912,,
11,11.0,1.142857143,1.142857143,,
12,12.0,1.076923077,1.182417582,,
13,13.0,1.015384615,1.182417582,,
14,14.0,0.9582417581999999,1.235164835,,
15,15.005555555555599,0.9010989011,1.235164835,,
16,16.0055555555556,0.8483516484,1.261538462,,
17,16.322222222222198,0.8263736264,1.2791208790000002,,
18,17.0055555555556,0.7868131868000001,1.296703297,,
