,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,2.016528926,0.5991735537,0.75,0.5289256198
1,0.75,1.929752066,0.6611570247999999,,
2,1.0,1.904958678,0.6776859504,,
3,2.2,1.805785124,0.7272727273,,
4,3.2,1.73553719,0.7768595040999999,,
5,4.2,1.6487603309999999,0.8099173554000001,,
6,5.2,1.574380165,0.8512396694,,
7,6.2,1.5,0.8801652893,,
8,7.2,1.429752066,0.9214876033,,
9,8.2,1.3512396690000001,0.9504132231,,
10,9.2,1.285123967,0.979338843,,
11,10.2,1.2231404959999999,1.0165289259999999,,
12,11.2,1.161157025,1.033057851,,
13,12.2,1.095041322,1.061983471,,
14,13.2,1.037190083,1.08677686,,
15,14.2,0.9669421488,1.107438017,,
16,15.2,0.9132231405,1.132231405,,
17,16.2,0.847107438,1.1487603309999999,,
18,17.2,0.7768595040999999,1.161157025,,
19,18.2,0.7190082645,1.185950413,,
20,19.2,0.652892562,1.198347107,,
21,20.2,0.6074380165,1.210743802,,
22,21.2,0.5495867769,1.23553719,,
23,22.2,0.5,1.23553719,,
24,23.2,0.4380165289,1.252066116,,
