,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,1.91369606,0.607879925,0.000326245570277778,1.163227017
1,1.0,1.8011257040000002,0.6866791745,,
2,2.0,1.718574109,0.7354596623,,
3,3.0,1.636022514,0.7804878048999999,,
4,4.0,1.553470919,0.8292682926999999,,
5,5.0,1.4671669790000001,0.8630393996,,
6,6.0,1.399624765,0.8968105066,,
7,7.0,1.335834897,0.9268292683,,
8,8.0,1.260787992,0.9455909943999999,,
9,9.0,1.196998124,0.9756097561,,
10,10.0,1.133208255,1.005628518,,
11,11.0,1.0581613509999999,1.0243902440000001,,
12,12.0,1.0018761729999999,1.046904315,,
13,13.0,0.9268292683,1.0656660409999998,,
14,14.0,0.8742964353,1.088180113,,
15,15.0,0.818011257,1.099437148,,
16,16.0,0.7542213884000001,1.118198874,,
17,17.0,0.6979362101000001,1.1369606,,
18,18.0,0.6153846154,1.1369606,,
19,19.0,0.5928705441,1.163227017,,
20,20.0,0.5478424015,1.174484053,,
