,Time for Concentration (hours),FAH [M],Inorganic [M],Organic [M],Solvent [M],DCM [M]
0,0.0555555555555556,1.1867274110673,0.201485887124119,0.28208024197376597,4.2664759522029705,8.64246610592526
1,0.111111111111111,1.1641606777038402,0.19765444424277398,0.276716221939883,4.18534491543995,8.775710511466741
2,0.166666666666667,1.15531823606588,0.19615314985861104,0.274614409802055,4.153554915263601,8.82792036659324
3,0.222222222222222,1.1480492732310401,0.19491900509074597,0.27288660712704504,4.12742182451075,8.87083967689979
4,0.277777777777778,1.13878744113343,0.193346505425552,0.270685107595773,4.094124048164439,8.92552580679699
5,0.33333333333333304,1.13317313212431,0.192393292395548,0.269350609353767,4.07393970410001,8.95867527749789
6,0.38888888888888895,1.12910135268384,0.191701974334563,0.26838276406838896,4.05930100198239,8.98271694193831
7,0.444444444444444,1.1259089692010502,0.19115996257004897,0.267623947598068,4.04782386980147,9.001566246911882
8,0.5,1.1233002392503701,0.19071704512878998,0.267003863180307,4.03844506596111,9.016969392147779
9,0.555555555555556,1.12111237054787,0.190345582683141,0.266483815756398,4.03057932601212,9.02988757839884
10,0.6111111111111109,1.1173490684673,0.189706638768012,0.265589294275216,4.01704964962825,9.05210785018217
11,0.666666666666667,1.11442674582955,0.189210478686397,0.264894670160955,4.00654342963007,9.069362591326831
12,0.7222222222222221,1.11046341801779,0.188537573845177,0.263952603383247,3.99229462856433,9.09276390731431
13,0.7777777777777779,1.10707166940043,0.18796171331250697,0.263146398637509,3.98010074665267,9.112790356024801
14,0.833333333333333,1.10408183948978,0.18745409165796398,0.262435728321149,3.96935182714848,9.13044369125495
15,0.8888888888888891,1.101414260079,0.18700118259136397,0.261801655627909,3.9597614500319396,9.146194310855009
16,0.944444444444444,1.09901918839639,0.18659454064629896,0.261232356904819,3.95115078203659,9.160335919099289
17,1.0,1.0968593406171,0.186227835671084,0.260718969939518,3.9433857818142797,9.17308865689152
18,1.05555555555556,1.0949042808068299,0.18589590016796897,0.26025426023515696,3.93635702728495,9.18463223203027
19,1.11111111111111,1.0931283220532502,0.185594372941393,0.25983212211795004,3.9299721698664802,9.19511831189729
20,1.16666666666667,1.0915095243406,0.18531952895433604,0.25944734053607,3.9241523316727203,9.204676440468221
21,1.22222222222222,1.09002906481913,0.18506817241091003,0.259095441375275,3.9188298415308,9.21341775653241
22,1.27777777777778,1.0873575164757,0.184614589487863,0.258460425283008,3.90922519546286,9.229191810542051
23,1.33333333333333,1.08535869240365,0.18427522356641798,0.257985312992985,3.9020391013720603,9.24099379007414
24,1.38888888888889,1.08369948945304,0.183993519465455,0.25759092725163696,3.89607399984784,9.25079048981201
25,1.44444444444444,1.08221141991897,0.18374087087288196,0.257237219222035,3.89072415048639,9.25957673890167
26,1.5,1.08019629527357,0.183398737394665,0.25675823235253,3.88347945321209,9.271474964539571
27,1.55555555555556,1.07759233460667,0.18295662969569898,0.25613928157397897,3.8741177957141804,9.286849949723539
28,1.61111111111111,1.0751749064738199,0.182546192010208,0.255564668814291,3.86542675268371,9.3011235607648
29,1.6666666666666698,1.07292924707688,0.18216491769940102,0.255030884779161,3.8573532458914,9.314382969939109
30,1.72222222222222,1.07084213400751,0.181810561825939,0.254534786556314,3.84984973865213,9.32670624844586
31,1.77777777777778,1.06890102126305,0.18148099429452502,0.254073392012335,3.84287112606803,9.33816747367325
32,1.8333333333333302,1.06709397176943,0.18117418839545998,0.25364386375364395,3.83637449243755,9.348837127613981
33,1.88888888888889,1.06540975403599,0.18088823721495498,0.253243532100936,3.8303194587448997,9.35878152617093
34,1.94444444444444,1.06383792743345,0.18062136811387502,0.252869915359425,3.8246684892482596,9.3680623156364
35,2.0,1.06236888118212,0.180371949347261,0.252520729086165,3.81938703164854,9.376736242487882
36,2.05555555555556,1.06099383180068,0.180138489631175,0.25219388548364496,3.8144435079174,9.38485516845157
37,2.1111111111111103,1.0597047917670999,0.17991963282186602,0.251887485950613,3.80980920162817,9.3924662555428
38,2.1666666666666696,1.05849452101377,0.17971414968048102,0.25159980955267397,3.80545808357312,9.39961225246109
39,2.22222222222222,1.0564567252780401,0.179368167041367,0.25111543385791396,3.798131880082,9.41164433867615
40,2.27777777777778,1.05464499042182,0.179060565648381,0.250684791907733,3.79161840181921,9.42234165715942
41,2.3333333333333304,1.05313381281787,0.178803993703303,0.250325591184624,3.78618547522913,9.431264346955212
42,2.38888888888889,1.05175696175664,0.178570228093002,0.249998319330203,3.78123547416932,9.439393910867599
43,2.44444444444444,1.05046577580437,0.17835100694363698,0.24969140972109302,3.7765934529571803,9.447017668452869
44,2.5,1.04924527519744,0.178143786949198,0.24940130172887698,3.7722055569327404,9.45422406714664
45,2.55555555555556,1.04809009289649,0.177947656878782,0.249126719630295,3.7680524907260797,9.46104479642559
46,2.61111111111111,1.04699727722217,0.177762115588045,0.24886696182326298,3.7641236425751297,9.467497284366369
47,2.6666666666666696,1.04528645816787,0.17747164796114803,0.248460307145608,3.7579729728546,9.47759874939494
48,2.72222222222222,1.0432975299448999,0.17713396218453797,0.24798754705835302,3.7508224559331804,9.489342299268358
