,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,2.062780269,0.6053811659,11.6166666666667,1.065470852
1,1.0,1.928251121,0.7040358743999999,,
2,2.0,1.856502242,0.7533632287,,
3,3.0,1.771300448,0.802690583,,
4,4.0,1.713004484,0.8565022422,,
5,5.0,1.64573991,0.8878923767,,
6,6.0,1.591928251,0.9237668161,,
7,7.0,1.5426008969999998,0.9730941704,,
8,8.0,1.4798206280000001,1.004484305,,
9,9.0,1.426008969,1.031390135,,
10,10.0,1.376681614,1.067264574,,
11,11.0,1.32735426,1.0896860990000001,,
12,11.6166666666667,1.30044843,1.116591928,,
13,12.0,1.2825112109999999,1.116591928,,
14,13.0,1.237668161,1.1569506729999999,,
15,14.0,1.188340807,1.183856502,,
16,15.0,1.1434977579999999,1.206278027,,
17,16.0,1.098654709,1.233183857,,
18,17.0,1.053811659,1.2556053809999999,,
19,18.0,1.013452915,1.2825112109999999,,
20,19.0,0.9775784753,1.291479821,,
21,20.0,0.9327354259999999,1.313901345,,
