,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,1.99543379,0.598173516,0.000367833586944444,1.310502283
1,1.0,1.858447489,0.6894977169,,
2,2.0,1.767123288,0.7534246575,,
3,3.0,1.6712328769999998,0.8082191781,,
4,4.0,1.6118721459999998,0.8538812785,,
5,5.0,1.543378995,0.9086757991,,
6,6.0,1.479452055,0.9497716895,,
7,7.0,1.4200913240000002,0.9863013699,,
8,8.0,1.360730594,1.02283105,,
9,9.0,1.296803653,1.0456621,,
10,10.0,1.251141553,1.082191781,,
11,11.0,1.196347032,1.100456621,,
12,12.0,1.141552511,1.141552511,,
13,13.0,1.100456621,1.168949772,,
14,14.0,1.04109589,1.1917808220000001,,
15,15.0,1.00456621,1.219178082,,
16,16.0,0.9543378995,1.255707763,,
17,17.0,0.904109589,1.255707763,,
18,18.0,0.8675799087,1.2922374429999999,,
19,19.0,0.8127853881,1.310502283,,
20,20.0,0.7762557078,1.3242009129999999,,
