,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,1.9904306219999999,0.6267942584,1.25,0.6985645933
1,1.0,1.837320574,0.7272727273,,
2,1.25,1.8133971290000002,0.7511961722,,
3,2.0,1.722488038,0.8038277512,,
4,3.0,1.612440191,0.8755980861,,
5,4.0,1.507177033,0.9282296651,,
6,5.0,1.406698565,0.9952153109999999,,
7,6.0,1.301435407,1.052631579,,
8,7.0,1.200956938,1.09569378,,
9,8.0,1.114832536,1.1387559809999999,,
10,9.0,1.033492823,1.181818182,,
11,10.0,0.9473684211,1.234449761,,
12,11.0,0.8660287081,1.253588517,,
13,12.0,0.7894736842,1.282296651,,
14,13.0,0.7129186603000001,1.315789474,,
15,14.0,0.6363636364,1.330143541,,
16,15.0,0.5550239234000001,1.358851675,,
