_out_crystalscore,Perovskite crystal?,amine,solvent,_feat_organic_0_accsitecount_std,_feat_organic_0_aliphaticatomcount_std,_feat_organic_0_aliphaticringcount_std,_feat_organic_0_aromaticatomcount_std,_feat_organic_0_aromaticringcount_std,_feat_organic_0_asa+_std,_feat_organic_0_asa-_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asavdwp_std,_feat_organic_0_atomcount_c_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_avgpol_std,_feat_organic_0_balabanindex_std,_feat_organic_0_bondcount_std,_feat_organic_0_carboaliphaticringcount_std,_feat_organic_0_carboaromaticringcount_std,_feat_organic_0_carboringcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_cyclomaticnumber_std,_feat_organic_0_donsitecount_std,_feat_organic_0_fr_amidine,_feat_organic_0_fr_halogen,_feat_organic_0_fr_nh1,_feat_organic_0_fr_nh2,_feat_organic_0_fr_piperzine,_feat_organic_0_fr_quatn,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_heteroaliphaticringcount_std,_feat_organic_0_hyperwienerindex_std,_feat_organic_0_largestringsize_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_protpsa_std,_feat_organic_0_refractivity_std,_feat_organic_0_ringatomcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_saltmolecularweight,_feat_organic_0_smallestringsize_std,_feat_organic_0_vanderwaalsvolume_std,_feat_organic_0_wienerindex_std,_feat_organic_0_wienerpolarity_std,DMF_present,DMSO_present,GBL_present,Expected_Diffusion_Coefficient,Best_Kin_Expected_Diffusion_Coeff_Mols/sec,Best_Kout_Expected_Diffusion_Coeff_Mols/sec,Best_Fit_SSE_Expected_Diffusion_Coeff,Crystallization_Time_Seconds,Crystallization_Height_cm,Expected_DCM_Concentration_Mols/L,Expected_Solvent_Concentration_Mols/L,Expected_FAH_Concentration_Mols/L,Expected_Inorganic_Concentration_Mols/L,Expected_Organic_Concentration_Mols/L
4,YES,aep,DMF,0,8,1,0,0,258.43,22.98,281.41,226.65,54.76,235.46,6,2,14.6,2.06,24,0,0,0,3,1,4,0,2,1,0,0,2,0,2,1,135,5,44.29,5.03,6.39,25.85,3.23,10.25,13.98,116.207,32.08,57.79,5,2,370.017,5,131.49,67,5,1,0,0,5.55E-06,4.43E-07,4.91E-07,0.004254117,4500,0.698564593,8.777488113,4.24774449,1.163859617,0.237123995,0.280596728
4,YES,aep,DMF:DMSO,0,8,1,0,0,258.43,22.98,281.41,226.65,54.76,235.46,6,2,14.6,2.06,24,0,0,0,3,1,4,0,2,1,0,0,2,0,2,1,135,5,44.29,5.03,6.39,25.85,3.23,10.25,13.98,116.207,32.08,57.79,5,2,370.017,5,131.49,67,5,1,1,0,2.07E-06,4.03E-07,4.46E-07,0.001937984,42960,0.95483871,11.01630811,3.044163276,0.78468532,0.138555103,0.1758584
4,YES,aep,GBL:DMF,0,8,1,0,0,258.43,22.98,281.41,226.65,54.76,235.46,6,2,14.6,2.06,24,0,0,0,3,1,4,0,2,1,0,0,2,0,2,1,135,5,44.29,5.03,6.39,25.85,3.23,10.25,13.98,116.207,32.08,57.79,5,2,370.017,5,131.49,67,5,1,0,1,1.08E-06,5.00E-07,4.61E-07,0.006534908,3740,0.650901804,8.881591674,4.277007327,1.146228278,0.190717635,0.256884977
1,NO,chma,DMSO,0,8,1,0,0,213.57,52.34,265.92,224.73,41.18,233.86,7,1,14.74,2.13,24,1,0,1,2,1,3,0,1,0,0,0,1,0,1,0,122,6,45.68,4.78,5.66,28.32,3.7,9.33,14.37,114.211,27.64,46.96,6,1,241.116,6,133.35,64,7,0,1,0,1.24E-05,2.12E-07,2.97E-07,0.000934926,1.330143541,1.306220096,9.585421345,4.148350919,1.027025251,0.177858633,0.254581965
1,NO,chma,DMF,0,8,1,0,0,213.57,52.34,265.92,224.73,41.18,233.86,7,1,14.74,2.13,24,1,0,1,2,1,3,0,1,0,0,0,1,0,1,0,122,6,45.68,4.78,5.66,28.32,3.7,9.33,14.37,114.211,27.64,46.96,6,1,241.116,6,133.35,64,7,1,0,0,5.55E-06,7.11E-07,9.17E-07,0.001465005,1.333333333,1.287581699,11.13718417,2.846028911,0.764213331,0.129750269,0.189435393
1,NO,chma,DMF:DMSO,0,8,1,0,0,213.57,52.34,265.92,224.73,41.18,233.86,7,1,14.74,2.13,24,1,0,1,2,1,3,0,1,0,0,0,1,0,1,0,122,6,45.68,4.78,5.66,28.32,3.7,9.33,14.37,114.211,27.64,46.96,6,1,241.116,6,133.35,64,7,1,1,0,2.07E-06,7.40E-07,8.18E-07,0.008491416,1.344497608,1.325358852,13.31756375,1.530364436,0.394936704,0.072417731,0.097898043
1,NO,chma,GBL:DMF,0,8,1,0,0,213.57,52.34,265.92,224.73,41.18,233.86,7,1,14.74,2.13,24,1,0,1,2,1,3,0,1,0,0,0,1,0,1,0,122,6,45.68,4.78,5.66,28.32,3.7,9.33,14.37,114.211,27.64,46.96,6,1,241.116,6,133.35,64,7,1,0,1,1.08E-06,5.61E-07,5.43E-07,0.003334623,1.320754717,1.295597484,14.90374766,0.472375946,0.126295111,0.020156172,0.031306394
4,YES,chma,GBL,0,8,1,0,0,213.57,52.34,265.92,224.73,41.18,233.86,7,1,14.74,2.13,24,1,0,1,2,1,3,0,1,0,0,0,1,0,1,0,122,6,45.68,4.78,5.66,28.32,3.7,9.33,14.37,114.211,27.64,46.96,6,1,241.116,6,133.35,64,7,0,0,1,5.26E-06,3.53E-07,4.73E-07,0.001641298,300,0.486956522,7.590674351,5.06456,1.3648625,0.227095556,0.356864445
1,NO,dabz,DMSO,0,2,0,6,1,256.81,0,256.81,153.29,103.52,176.15,6,2,12.61,2.19,18,0,1,1,2,1,6,0,2,0,0,0,2,0,2,0,115,6,42.74,4.46,4.31,22.02,3.5,8.86,13.2,110.159,55.28,55.92,6,0,363.969,6,110.43,62,7,0,1,0,1.24E-05,2.08E-07,3.46E-07,0.002337369,1.226993865,1.210633947,8.570025944,4.850227947,1.198996127,0.227997172,0.293139222
4,YES,dabz,DMF,0,2,0,6,1,256.81,0,256.81,153.29,103.52,176.15,6,2,12.61,2.19,18,0,1,1,2,1,6,0,2,0,0,0,2,0,2,0,115,6,42.74,4.46,4.31,22.02,3.5,8.86,13.2,110.159,55.28,55.92,6,0,363.969,6,110.43,62,7,1,0,0,5.55E-06,4.54E-07,6.62E-07,0.001145849,34080,0.980909091,9.366331181,3.982920974,1.064131118,0.18428457,0.260166452
3,YES,dabz,DMF:DMSO,0,2,0,6,1,256.81,0,256.81,153.29,103.52,176.15,6,2,12.61,2.19,18,0,1,1,2,1,6,0,2,0,0,0,2,0,2,0,115,6,42.74,4.46,4.31,22.02,3.5,8.86,13.2,110.159,55.28,55.92,6,0,363.969,6,110.43,62,7,1,1,0,2.07E-06,2.69E-07,2.63E-07,0.001175942,41820,1.065470852,12.52275107,2.060248332,0.529548929,0.093504625,0.133064274
4,YES,dabz,GBL:DMF,0,2,0,6,1,256.81,0,256.81,153.29,103.52,176.15,6,2,12.61,2.19,18,0,1,1,2,1,6,0,2,0,0,0,2,0,2,0,115,6,42.74,4.46,4.31,22.02,3.5,8.86,13.2,110.159,55.28,55.92,6,0,363.969,6,110.43,62,7,1,0,1,1.08E-06,1.44E-07,1.16E-07,0.002509031,1380,0.538197425,6.851795951,5.560484025,1.490001502,0.252976607,0.379464911
1,NO,dedap,DMSO,0,9,0,0,0,285.85,73.58,359.43,304.69,54.74,294.02,7,2,17.53,3.09,28,0,0,0,9,0,4,0,2,1,0,0,2,0,2,0,242,0,55.8,5.42,6,34.16,4.32,10.69,16.56,132.25,32.08,64.61,0,5,386.06,0,160.34,104,8,0,1,0,1.24E-05,1.98E-07,3.11E-07,0.000576286,1.174484053,1.163227017,8.561537148,4.619875539,1.200433819,0.220118039,0.301643239
1,NO,dedap,DMF,0,9,0,0,0,285.85,73.58,359.43,304.69,54.74,294.02,7,2,17.53,3.09,28,0,0,0,9,0,4,0,2,1,0,0,2,0,2,0,242,0,55.8,5.42,6,34.16,4.32,10.69,16.56,132.25,32.08,64.61,0,5,386.06,0,160.34,104,8,1,0,0,5.55E-06,1.18E-06,1.62E-06,0.003176736,1.366336634,1.353135314,10.65816851,3.039137172,0.84534108,0.143524364,0.20093411
