Reaction ID,Solvent,Amine,Expected Diffusion Coefficient,"Best Kin, Expected Diffusion Coeff, Mols/sec","Best Kout, Expected Diffusion Coeff, Mols/sec","Best Fit SSE, Expected Diffusion Coeff",Crystallization Data?,"Crystallization Time, Seconds","Crystallization Height, cm","Expected DCM Concentration, Mols/L",DCM Concentration Uncertainty Range,"Expected Solvent Concentration, Mols/L",Solvent Concentration Uncertainty Range,"Expected FAH Concentration, Mols/L",FAH Concentration Uncertainty Range,"Expected Inorganic Concentration, Mols/L",Inorganic Concentration Uncertainty Range,"Expected Organic Concentration, Mols/L",Organic Concentration Uncertainty Range
MA 351 3,DMSO,ea,1.24E-05,1.79E-07,2.45E-07,0.000623206,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.308035714,1.285714286,9.590047279,"[9.9093,9.3644]",4.40476291,"[4.5688,4.1727]",1.026241786,"[1.0645,0.97217]",0.177722954,"[0.18434,0.16836]",0.26484205,"[0.27471,0.25089]"
MA 351 4,DMF:DMSO,ea,2.07E-06,7.92E-07,9.17E-07,0.005393733,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.303609342,1.286624204,12.92248196,"[13.9983,12.0931]",1.906784412,"[2.4867,1.1546]",0.461849123,"[0.60232,0.27965]",0.079982312,"[0.10431,0.04843]",0.119189328,"[0.15544,0.07217]"
MA 385 2,GBL:DMF,ea,1.08E-06,6.55E-07,6.51E-07,0.004080028,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.348066298,1.314917127,14.7889056,"[15.6446,13.4858]",0.57583236,"[1.4478,0.0032243]",0.14574516,"[0.36644,0.00081608]",0.027219521,"[0.068436,0.00015241]",0.037117529,"[0.093322,0.00020783]"
MA 354 1,GBL,ma,5.26E-06,2.84E-07,3.47E-07,0.002834665,Yes,15420,0.690163934,8.402139959,"[9.6811,8.3612]",4.935148912,"[4.963,4.0642]",1.227429878,"[1.2344,1.0108]",0.216732324,"[0.21796,0.17848]",0.312594698,"[0.31436,0.25743]"
MA 354 2,DMF,ma,5.55E-06,3.52E-07,4.26E-07,0.000718352,Yes,60380,1.249448124,11.31681991,"[15.6449,9.9063]",2.948271546,"[3.9081,0.0030773]",0.733789601,"[0.97268,0.0007659]",0.124584844,"[0.16515,0.00013004]",0.184385568,"[0.24441,0.00019246]"
MA 354 3,DMSO,ma,1.24E-05,1.98E-07,2.67E-07,0.000728312,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.324200913,1.310502283,9.75562439,"[10.1064,9.5162]",4.347306807,"[4.5239,4.0886]",0.998199074,"[1.0387,0.93879]",0.169477021,"[0.17636,0.15939]",0.257605071,"[0.26807,0.24227]"
MA 395 1,DMF:DMSO,ma,2.07E-06,6.22E-07,7.29E-07,0.007100463,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.276243094,1.270718232,12.69729483,"[13.8143,11.8484]",2.097355122,"[2.7004,1.3038]",0.499987594,"[0.64376,0.31082]",0.088284859,"[0.11367,0.054882]",0.122240573,"[0.15739,0.07599]"
MA 354 5,GBL:DMF,ma,1.08E-06,4.20E-07,3.97E-07,0.002431724,Yes,58760,1.23956044,14.9139324,"[15.6434,13.6752]",0.49985046,"[1.3417,0.0041426]",0.124570189,"[0.33437,0.0010324]",0.021149874,"[0.056771,0.00017529]",0.032993803,"[0.088562,0.00027345]"
MA 355 1b,GBL,phenea,5.26E-06,1.29E-07,1.52E-07,0.001561081,Yes,40500,0.880357143,8.987453145,"[12.3102,8.5739]",4.219133709,"[4.4811,2.1148]",1.128299213,"[1.1983,0.56555]",0.199228416,"[0.2116,0.099861]",0.287348677,"[0.30519,0.14403]"
MA 355 2,DMF,phenea,5.55E-06,3.33E-07,4.27E-07,0.000823943,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.324263039,1.297052154,10.76259277,"[15.6453,9.5732]",3.090802085,"[3.8431,0.0026339]",0.827655427,"[1.0291,0.0007053]",0.140521645,"[0.17472,0.00011975]",0.210782468,"[0.26209,0.00017962]"
MA 394 1,DMSO,phenea,1.24E-05,2.95E-07,4.45E-07,0.009184433,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.363914373,1.339449541,9.469650486,"[9.7463,9.3073]",4.242971185,"[4.3545,4.0531]",1.046632603,"[1.0741,0.99979]",0.1777002,"[0.18237,0.16975]",0.2665503,"[0.27355,0.25462]"
MA 394 2,DMF:DMSO,phenea,2.07E-06,4.25E-07,4.32E-07,0.002095663,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.350877193,1.328947368,13.75929015,"[14.626,13.0346]",1.247210481,"[1.7254,0.67535]",0.320124394,"[0.44286,0.17334]",0.055438644,"[0.076694,0.030019]",0.081527418,"[0.11279,0.044146]"
MZ 342 1,GBL:DMF,phenea,1.08E-06,7.90E-07,8.44E-07,0.009127128,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.277936963,1.260744986,14.02743556,"[15.6426,12.3273]",1.027594248,"[2.1047,0.0043305]",0.27471036,"[0.56265,0.0011577]",0.04664109,"[0.095528,0.00019656]",0.069961636,"[0.14329,0.00029483]"
MA 356 2,DMF,"1,3-dap",5.55E-06,4.01E-07,5.16E-07,0.001230377,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.324786325,1.316239316,10.85382866,"[15.6457,9.6582]",3.008065278,"[3.758,0.0023841]",0.812203401,"[1.0147,0.00064374]",0.14065612,"[0.17572,0.00011148]",0.212363162,"[0.26531,0.00016832]"
MA 396 1,DMSO,"1,3-dap",1.24E-05,2.47E-07,4.40E-07,0.003834729,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.197831978,1.176151762,8.180124526,"[8.3583,8.0734]",5.114497579,"[5.1876,4.9925]",1.26503118,"[1.2831,1.2349]",0.21907613,"[0.22221,0.21385]",0.317875169,"[0.32242,0.31029]"
MA 356 4,DMF:DMSO,"1,3-dap",2.07E-06,4.40E-07,5.31E-07,0.003049471,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.169892473,1.165591398,12.14918464,"[13.4217,11.2088]",2.286269752,"[2.9005,1.4551]",0.592817432,"[0.75208,0.3773]",0.104676204,"[0.1328,0.066621]",0.157014305,"[0.1992,0.099932]"
MA 356 5,GBL:DMF,"1,3-dap",1.08E-06,2.50E-07,2.07E-07,0.000694661,Yes,16740,0.734821429,10.25232549,"[14.1805,9.435]",3.384686106,"[3.8973,0.92124]",0.914076058,"[1.0525,0.24879]",0.158298268,"[0.18227,0.043086]",0.242103234,"[0.27877,0.065895]"
MA 357 2,DMF,dmed,5.55E-06,4.94E-07,5.96E-07,0.001544812,Yes,20040,0.884304933,9.621356857,"[15.4588,9.0754]",3.817136269,"[4.1628,0.12075]",1.020939088,"[1.1134,0.032297]",0.173337884,"[0.18904,0.0054834]",0.249606552,"[0.27221,0.0078962]"
MA 380 7,DMSO,dmed,1.24E-05,1.00E-07,1.39E-07,0.002189896,Yes,24060,0.730018416,7.733626615,"[7.7981,7.7039]",5.446682821,"[5.4671,5.4023]",1.340651611,"[1.3457,1.3297]",0.232171958,"[0.23304,0.23028]",0.323219785,"[0.32443,0.32059]"
MA 397 1,DMF:DMSO,dmed,2.07E-06,9.10E-07,9.82E-07,0.010655349,Yes,45300,0.994761905,11.75330002,"[12.6768,11.1364]",2.576180488,"[2.9841,1.9655]",0.65986582,"[0.76434,0.50345]",0.112033858,"[0.12977,0.085478]",0.161328755,"[0.18687,0.12309]"
MA 357 5,GBL:DMF,dmed,1.08E-06,2.08E-07,1.69E-07,0.000582367,Yes,7740,0.65412844,8.833802563,"[11.8976,8.3943]",4.307388959,"[4.5852,2.3711]",1.154322007,"[1.2288,0.63542]",0.203823368,"[0.21697,0.1122]",0.286136651,"[0.30459,0.15751]"
MA 338 2,GBL,dedap,5.26E-06,1.97E-07,2.44E-07,0.001841728,Yes,2700,0.52892562,7.719510642,"[7.9877,6.6265]",4.769058704,"[5.4264,4.6078]",1.343042341,"[1.5282,1.2976]",0.228025471,"[0.25946,0.22031]",0.346598717,"[0.39437,0.33488]"
MZ 341 1,DMF,dedap,5.55E-06,1.18E-06,1.62E-06,0.003176736,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.366336634,1.353135314,10.65816851,"[15.6462,9.535]",3.039137172,"[3.723,0.0019975]",0.84534108,"[1.0356,0.00055562]",0.143524364,"[0.17582,9.4335e-05]",0.20093411,"[0.24615,0.00013207]"
MA 338 4,DMSO,dedap,1.24E-05,1.98E-07,3.11E-07,0.000576286,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.174484053,1.163227017,8.561537148,"[8.8429,8.3706]",4.619875539,"[4.7443,4.4365]",1.200433819,"[1.2328,1.1528]",0.220118039,"[0.22605,0.21138]",0.301643239,"[0.30977,0.28967]"
MZ 341 2,DMF:DMSO,dedap,2.07E-06,1.35E-06,1.53E-06,0.011789959,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.351145038,1.34351145,13.19551227,"[14.2018,12.3911]",1.552230923,"[2.0611,0.91571]",0.415607765,"[0.55185,0.24518]",0.070563045,"[0.093695,0.041627]",0.101610784,"[0.13492,0.059944]"
MZ 341 3,GBL:DMF,dedap,1.08E-06,6.73E-07,6.89E-07,0.003554609,Yes,23140,0.873809524,11.40895572,"[15.3027,10.2637]",2.550841639,"[3.2397,0.20859]",0.718185162,"[0.91214,0.058729]",0.124374188,"[0.15796,0.010171]",0.182903217,"[0.2323,0.014957]"
MA 358 2,DMF,dabz,5.55E-06,4.54E-07,6.62E-07,0.001145849,Yes,34080,0.980909091,9.366331181,"[15.6267,8.3552]",3.982920974,"[4.6239,0.014446]",1.064131118,"[1.2354,0.0038596]",0.18428457,"[0.21394,0.0006684]",0.260166452,"[0.30204,0.00094363]"
MA 334 3,DMSO,dabz,1.24E-05,2.08E-07,3.46E-07,0.002337369,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.226993865,1.210633947,8.570025944,"[8.7913,8.4343]",4.850227947,"[4.9432,4.6986]",1.198996127,"[1.222,1.1615]",0.227997172,"[0.23237,0.22087]",0.293139222,"[0.29876,0.28398]"
MA 358 4,DMF:DMSO,dabz,2.07E-06,2.69E-07,2.63E-07,0.001175942,Yes,41820,1.065470852,12.52275107,"[13.5139,11.8138]",2.060248332,"[2.5274,1.4072]",0.529548929,"[0.64963,0.36169]",0.093504625,"[0.11471,0.063865]",0.133064274,"[0.16324,0.090885]"
MA 358 5,GBL:DMF,dabz,1.08E-06,1.44E-07,1.16E-07,0.002509031,Yes,1380,0.538197425,6.851795951,"[7.0146,5.3723]",5.560484025,"[6.4956,5.4576]",1.490001502,"[1.7406,1.4624]",0.252976607,"[0.29552,0.2483]",0.379464911,"[0.44328,0.37244]"
