Rxn_ID,pXRD,Esc_vial site,Amine,Desired In-organic [M],Desired Organic [M],Solvent,Actual In-organic [M],Actual Organic [M],Solvent vol (uL),Anti-Solvent vol (uL),FAH (uL),Image capture interval (Sec),Rxn capturing time,CIF,Crystal score,Humidity/Temp,Rxn.Specifications,Images location,Diffusion data Location ((Lower_meniscus)),Crystal growth data location,Crystal height data location (Lower_meniscus),Liquid_height_and_crystal_start_Old_wrong,Diffusion_height_2,Diffusion_height_3
MA_351_1,done,A1,ea,0.5,0.75,GBL,0.51,0.75,180,800,20,60,19,966419,4,https://drive.google.com/file/d/1-dr83ecfA9r6BSuZijxt8ZSkoa5j_W0M/view?usp=sharing,https://drive.google.com/drive/folders/1BkjkMxT8CaMAru8DDLx2OvWiEQtfgziR?usp=sharing,https://drive.google.com/drive/folders/1LgPhJRopVuPPfFftaWWzwbRydj3ySZZA?usp=sharing,https://docs.google.com/spreadsheets/d/1YNqaJNhWXKyeJYJq6TYKCrrlVqBuN6HPkDoecPojjKk/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1HQ8XkxoQd8X2LxpDFXWrfpCV9KZFnMWG6FDJ8RCAqYc/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1HQ8XkxoQd8X2LxpDFXWrfpCV9KZFnMWG6FDJ8RCAqYc/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1MAiJ9II3Oh65AnQeHGlDN_RsrJwnPQXfGOJ33PDAOJc/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1z7J1vBgTCWoHB4TVHTSTN_5EFSPJ1tmgXnR1KUo6yDw/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1Y6HAoC15FJc3rmZY1RKwLiW55qgPRu7rd7dV7O6B6lE/edit?usp=sharing
MA_351_2,NA,C1,ea,0.5,0.75,DMF,0.52,0.75,180,800,20,60,25,,1,https://drive.google.com/file/d/1T8vUwYDeo2ex4Ys6TbB8n0cAyEq2URAY/view?usp=sharing,https://drive.google.com/drive/folders/1BkjkMxT8CaMAru8DDLx2OvWiEQtfgziR?usp=sharing,https://drive.google.com/drive/folders/1wyXD4ekUtGIauRimew2roPrqy7DRZYR6?usp=sharing,https://docs.google.com/spreadsheets/d/1w4tDpwFhTsqDNSx8qWNf6kABFghdFbODeSeZD4B7rb8/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/10BzWTnthmjIOWi-JzhRKiYMp0Qxy4r475MyBlc_KJMk/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1mS1O0kRiqK4_2ERjv93vGPRlrBsURrfeUxO21g__7k8/edit?usp=sharing,https://docs.google.com/spreadsheets/d/14Oyr0fAVjAMkrox7LqaRPn3bOm-Wpno83eIXQh3GbNc/edit?usp=sharing
MA_351_3,NA,E1,ea,0.5,0.75,DMSO,0.51,0.76,180,800,20,60,25,,1,https://drive.google.com/file/d/12-4sDguH_nxV8FmTo7ROUVct3zNR6wj1/view?usp=sharing,https://drive.google.com/drive/folders/1BkjkMxT8CaMAru8DDLx2OvWiEQtfgziR?usp=sharing,https://drive.google.com/drive/folders/1Oznzh2ozG0XlnbNqAkn20t48S4X-Ltvx?usp=sharing,https://docs.google.com/spreadsheets/d/1bnNUUfeKKZJZRfONqvNESzJngmTGVoOy8JYB6rMBYcY/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/1PW9-Zb75E4bSQ59GZ6zfIc-bRYaM__iSSLIfd8T8F5I/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1GCRhS0GKG6iLUlu112ecsHZy3K_l3tkFAPIW0e6AOpU/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1cXxjztvNlzZ4woC_JZkbL4nqYscsEJueHLWieb3oifY/edit?usp=sharing
MA_351_4,NA,G1,ea,0.5,0.75,DMF:DMSO,0.51,0.76,180,800,20,60,25,,1,https://drive.google.com/file/d/1ReauuNJgyy0_XjEf_kRFjbHf-ERJ4IOW/view?usp=sharing,https://drive.google.com/drive/folders/1BkjkMxT8CaMAru8DDLx2OvWiEQtfgziR?usp=sharing,https://drive.google.com/drive/folders/1-ivFW4rXWS4VQ-cZl4BjJK5320YHzmwJ?usp=sharing,https://docs.google.com/spreadsheets/d/1BebgRM-MCJ7ICtLE0oiZEkmpU47_5cZi6wKiM5fV_qI/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/1vG1Qt87XJYLjqjrR-DWDQxvBBLAwoHcSevJxxrlJ9Ms/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1BghWX706v4TuPbh3mC8bzJ27FPrQ2h09u0CAFu3V-wc/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1wV9nAIqdtnCEWh6Fa3oZ-SBNVL7Ukh84djm7VTeKlVU/edit?usp=sharing
MA_385_2,NA,A3,ea,0.5,0.75,GBL:DMF,0.55,0.75,180,800,20,60,40,,1,https://drive.google.com/file/d/1akf_A3rvygw8Yx5U60nU24YN7UeK7xBp/view?usp=sharing,https://drive.google.com/drive/folders/1BkjkMxT8CaMAru8DDLx2OvWiEQtfgziR?usp=sharing,https://drive.google.com/drive/folders/1DOpHSoCMQkqWwgIiRy7lvvbJvukmAYk_?usp=sharing,https://docs.google.com/spreadsheets/d/12gStVcXMmH-kqvcCDA9TkaaDikqc_Y8RApHE6iaG3Zw/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1yRXlGOqGfZaR6a1FjI6dO-BxCjvKGEkBatX1slQxBSA/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1yRXlGOqGfZaR6a1FjI6dO-BxCjvKGEkBatX1slQxBSA/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1dYZCOlB72fOnvr-9qrVGgPyBb0Rx_RzI8CPj7NBMmL8/edit?usp=sharing,https://docs.google.com/spreadsheets/d/10NoCtdi3j0a1hnufxcY1dudmeKjKnunb9dsMu9Oach0/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1lXETO4YasbRH49W3DhFlipU57eTh20XMsSzGXUod8dI/edit?usp=sharing
MA_354_1,done,A1,ma,0.5,0.75,GBL,0.52,0.75,180,800,20,60,19,194996,4,https://drive.google.com/file/d/1Oy6L2Lzm5Il8iz5PHPFkvohYvmb4zqnz/view?usp=sharing,https://drive.google.com/drive/folders/1fUPEgoJdbzdMy8l0Tf29H8SRdBjvMAhl?usp=sharing,https://drive.google.com/drive/folders/1qe6A2K24SgOeuE59QN0DXPLe4DEe_MXm?usp=sharing,https://docs.google.com/spreadsheets/d/1MaHEizDztGrHPUz2Txn-XmRF1L6xpCWJm7M5F6kqzPo/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1UwOp4Xz7mzONj1wY_fGiTEQ1NkQ6Y7V0x1dlOQ_b8wY/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1UwOp4Xz7mzONj1wY_fGiTEQ1NkQ6Y7V0x1dlOQ_b8wY/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1F10aBn0_wdIISPzyYv2wIx_iKB3h_5HxrTHnEPQumek/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1RPQXGgkLYdFr4MecxPiFWOXRt4VxOhUlkO8Yx8OgZwk/edit?usp=sharing,https://docs.google.com/spreadsheets/d/146T0G7pj3fdMIio0aIojWx7rT-GqVILDwKNrunMRd54/edit?usp=sharing
MA_354_2,done,C1,ma,0.5,0.75,DMF,0.5,0.74,180,800,20,60,19,1469899,4,https://drive.google.com/file/d/1gbOhjX2inSfGFnih0ACSE3ZubG0_u4eo/view?usp=sharing,https://drive.google.com/drive/folders/1fUPEgoJdbzdMy8l0Tf29H8SRdBjvMAhl?usp=sharing,https://drive.google.com/drive/folders/1b4IsicPrSowZpkk9d-TpNymf5m3fBOI7?usp=sharing,https://docs.google.com/spreadsheets/d/1WTS07eh8xmvsGhlQb2rv8pPBmsHkh8F5SBUhN-NjZr4/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1xg2GPfEct7xZEkiaHLHUDoCtAywB_cfTlI7Uw9l0TqA/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1xg2GPfEct7xZEkiaHLHUDoCtAywB_cfTlI7Uw9l0TqA/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1LxQicsBoSUxm8yq2T3NscAyCWlJpuDGKljh5cQ9yvN0/edit?usp=sharing,https://docs.google.com/spreadsheets/d/10V5KBbbk8V-7ucv0nGyqlObMhQ-Rvy2MsUuuiDuqHf4/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1Iq6o1-FpYArzUQ2k9CQffDwvQbKHWCURpRG1-rYNcNo/edit?usp=sharing
MA_354_3,NA,E1,ma,0.5,0.75,DMSO,0.5,0.76,180,800,20,60,26,,1,https://drive.google.com/file/d/1_ZRIfc1SY9g5t_0g_gdByo-s6yZGGxYc/view?usp=sharing,https://drive.google.com/drive/folders/1fUPEgoJdbzdMy8l0Tf29H8SRdBjvMAhl?usp=sharing,https://drive.google.com/drive/folders/1nr40zG_pUaz_OmQC0Zrp9UM3i8iSmmcw?usp=sharing,https://docs.google.com/spreadsheets/d/1ibtCam2sWT-VV9VMblRWY2AvVytXS3qT_19xeAEvqeg/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/12xR0gFvwaH1WH7lXxcd0P1JwhugsWyfil70wVSFI8_Y/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1lYjpdhtSEuXlRvU72FW3hVhsBXDxWAi90bwmayI9lWg/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1Y2QXmEBAyRLtpwi0GPxPfQskDfG8yQ0yNQroeyFWiBI/edit?usp=sharing
MA_395_1,NA,A1,ma,0.5,0.75,DMF:DMSO,0.52,0.72,180,800,20,60,25,,1,,https://drive.google.com/drive/folders/1fUPEgoJdbzdMy8l0Tf29H8SRdBjvMAhl?usp=sharing,https://drive.google.com/drive/folders/1tkRO2uA51dNesoxqzjKrfi2n3df7dZlt?usp=sharing,https://docs.google.com/spreadsheets/d/18acX1wCQ5ERuivn2skF15XjnuF6avqoJ6h5Yi2EZ0Z4/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/1fcR5nkxQLXO0ITn9edVfNcO_1gEN2_hdCtb09j_aI5I/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1z_tw7U2XRlgEIUYD6SIloijhcq4Qvnw9d-JIIs3sfbY/edit?usp=sharing,https://docs.google.com/spreadsheets/d/17qfctLoCuUSYcgW-0mgEzpUd11d714zMiaMG20FeBk4/edit?usp=sharing
MA_354_5,done,A3,ma,0.5,0.75,GBL:DMF,0.5,0.78,180,800,20,60,17,1469899,4,https://drive.google.com/file/d/1v-bPkF8SThPI4TD0Glpgq12JyTg8Zn_9/view?usp=sharing,https://drive.google.com/drive/folders/1fUPEgoJdbzdMy8l0Tf29H8SRdBjvMAhl?usp=sharing,https://drive.google.com/drive/folders/1UsuJUkCoHKnPgQS2aBtzom0qDQYCW4ca?usp=sharing,https://docs.google.com/spreadsheets/d/1qVJrJiJISIEgWAxBSaHc498YPyO0f5x7sXgbHLaHLfU/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1xnhjLItAUlYS2JlouRnAhNi7LolLYjyup6eeiQBkBxA/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1xnhjLItAUlYS2JlouRnAhNi7LolLYjyup6eeiQBkBxA/edit?usp=sharing,https://docs.google.com/spreadsheets/d/17lf7db6AYi9MCk7UsUoX2cUUNCZsHNFMrAPCHTSOQXs/edit?usp=sharing,https://docs.google.com/spreadsheets/d/10ER_vT80rGaeuY-pXBI9--wZmrORG1rPzFf_soiPuio/edit?usp=sharing,https://docs.google.com/spreadsheets/d/19wL1h8Gr6H2CA-EvVare6Aa6vmNTNPiySdseboQBh5Y/edit?usp=sharing
