Amine,Amine,Amine MW,Halide,Halide MW,Solvent,Initial PbI (mmol),Initial Amine (mmol),"Solvent added
 to fully dissolve (ml)",Final volume (ml),Max PbI [M],Max Amine [M],ESC_Run
"N,N-Diethylpropane-1,3-diammonium iodide",dedap,386.06,PbI2,461.01,GBL,0.5112687,0.760314,0.9,1,0.51,0.76,https://drive.google.com/drive/folders/1fDwoF8SH6GHbkBvSvnzNhbt_1ApLF2s-?usp=sharing
"N,N-Diethylpropane-1,3-diammonium iodide",dedap,386.06,PbI2,461.01,DMF,0.51257,0.7670177,0.45,0.59,0.87,1.3,https://drive.google.com/drive/folders/1fDwoF8SH6GHbkBvSvnzNhbt_1ApLF2s-?usp=sharing
"N,N-Diethylpropane-1,3-diammonium iodide",dedap,386.06,PbI2,461.01,DMSO,0.5108349,0.7653418,0.8,0.9,0.57,0.85,https://drive.google.com/drive/folders/1fDwoF8SH6GHbkBvSvnzNhbt_1ApLF2s-?usp=sharing
"N,N-Diethylpropane-1,3-diammonium iodide",dedap,386.06,PbI2,461.01,DMF:DMSO,0.5071474,0.7583587,0.5,0.65,0.78,1.08,https://drive.google.com/drive/folders/1fDwoF8SH6GHbkBvSvnzNhbt_1ApLF2s-?usp=sharing
"N,N-Diethylpropane-1,3-diammonium iodide",dedap,386.06,PbI2,461.01,GBL:DMF,0.5130041,0.7639451,0.6,0.72,0.71,0.98,https://drive.google.com/drive/folders/1fDwoF8SH6GHbkBvSvnzNhbt_1ApLF2s-?usp=sharing
Cyclohexyl-methylammonium Iodide,chma,241.11,PbI2,461.01,GBL,0.5127871,0.7681141,0.825,1.03,0.5,0.75,https://drive.google.com/drive/folders/1gGf6jsyUWWqoNUic7-01XXthejrVVhGd?usp=sharing
Cyclohexyl-methylammonium Iodide,chma,241.11,PbI2,461.01,DMF,0.5038936,0.7631372,0.225,0.35,1.44,2.18,https://drive.google.com/drive/folders/1gGf6jsyUWWqoNUic7-01XXthejrVVhGd?usp=sharing
Cyclohexyl-methylammonium Iodide,chma,241.11,PbI2,461.01,DMSO,0.5071474,0.7647962,0.225,0.36,1.41,2.12,https://drive.google.com/drive/folders/1gGf6jsyUWWqoNUic7-01XXthejrVVhGd?usp=sharing
Cyclohexyl-methylammonium Iodide,chma,241.11,PbI2,461.01,DMF:DMSO,0.5043275,0.7573307,0.225,0.355,1.42,2.13,https://drive.google.com/drive/folders/1gGf6jsyUWWqoNUic7-01XXthejrVVhGd?usp=sharing
Cyclohexyl-methylammonium Iodide,chma,241.11,PbI2,461.01,GBL:DMF,0.5058459,0.7594044,0.325,0.44,1.15,1.73,https://drive.google.com/drive/folders/1gGf6jsyUWWqoNUic7-01XXthejrVVhGd?usp=sharing
Phenethylammonium iodide,phenea,249.10,PbI2,461.01,GBL,0.4993384,0.790847,0.1,0.3,1.66,2.64,https://drive.google.com/drive/folders/1XVCnG4-2M96yCVbwktRRioYGNKTk4GYq?usp=sharing
Phenethylammonium iodide,phenea,249.10,PbI2,461.01,DMF,0.513221,0.784424,0.18,0.32,1.6,2.45,https://drive.google.com/drive/folders/1XVCnG4-2M96yCVbwktRRioYGNKTk4GYq?usp=sharing
Phenethylammonium iodide,phenea,249.10,PbI2,461.01,DMSO,0.581983,0.790847,0.22,0.35,1.66,2.26,https://drive.google.com/drive/folders/1XVCnG4-2M96yCVbwktRRioYGNKTk4GYq?usp=sharing
Phenethylammonium iodide,phenea,249.10,PbI2,461.01,DMF:DMSO,0.5440229,0.8105179,0.22,0.3,1.81,2.7,https://drive.google.com/drive/folders/1XVCnG4-2M96yCVbwktRRioYGNKTk4GYq?usp=sharing
Phenethylammonium iodide,phenea,249.10,PbI2,461.01,GBL:DMF,0.5177762,0.7699719,0.18,0.36,1.42,2.11,https://drive.google.com/drive/folders/1XVCnG4-2M96yCVbwktRRioYGNKTk4GYq?usp=sharing
"1,4-Benzene diammonium iodide",dabz,363.97,PbI2,461.01,GBL,0.515607,0.7481386,2.4,2.6,0.2,0.29,https://drive.google.com/drive/folders/1f2kUo9bB-5YY9uU7rwUOS_pcABG2SOAv?usp=sharing
"1,4-Benzene diammonium iodide",dabz,363.97,PbI2,461.01,DMF,0.503026,0.7533588,0.5,0.63,0.8,1.2,https://drive.google.com/drive/folders/1f2kUo9bB-5YY9uU7rwUOS_pcABG2SOAv?usp=sharing
"1,4-Benzene diammonium iodide",dabz,363.97,PbI2,461.01,DMSO,0.5036767,0.7525345,0.35,0.47,1.07,1.6,https://drive.google.com/drive/folders/1f2kUo9bB-5YY9uU7rwUOS_pcABG2SOAv?usp=sharing
"1,4-Benzene diammonium iodide",dabz,363.97,PbI2,461.01,DMF:DMSO,0.5069304,0.755282,0.45,0.57,0.89,1.33,https://drive.google.com/drive/folders/1f2kUo9bB-5YY9uU7rwUOS_pcABG2SOAv?usp=sharing
"1,4-Benzene diammonium iodide",dabz,363.97,PbI2,461.01,GBL:DMF,0.5166916,0.749787,0.97,1,0.52,0.75,https://drive.google.com/drive/folders/1f2kUo9bB-5YY9uU7rwUOS_pcABG2SOAv?usp=sharing
2-Pyrrolidin-1-ium-1-ylethylammonium iodide,aep,370.02,PbI2,461.01,GBL,0.5086658,0.7405005,2.2,3.3,0.15,0.22,https://drive.google.com/drive/folders/1DCk9SNLMYrWMn-A02I9NVBzm_U5V0vl6?usp=sharing
2-Pyrrolidin-1-ium-1-ylethylammonium iodide,aep,370.02,PbI2,461.01,DMF,0.5077981,0.7318523,0.4,0.51,1,1.44,https://drive.google.com/drive/folders/1DCk9SNLMYrWMn-A02I9NVBzm_U5V0vl6?usp=sharing
2-Pyrrolidin-1-ium-1-ylethylammonium iodide,aep,370.02,PbI2,461.01,DMSO,0.503026,0.7445543,0.4,0.53,0.95,1.4,https://drive.google.com/drive/folders/1DCk9SNLMYrWMn-A02I9NVBzm_U5V0vl6?usp=sharing
2-Pyrrolidin-1-ium-1-ylethylammonium iodide,aep,370.02,PbI2,461.01,DMF:DMSO,0.5114857,0.7375277,0.35,0.475,1.08,1.55,https://drive.google.com/drive/folders/1DCk9SNLMYrWMn-A02I9NVBzm_U5V0vl6?usp=sharing
2-Pyrrolidin-1-ium-1-ylethylammonium iodide,aep,370.02,PbI2,461.01,GBL:DMF,0.5114857,0.7496892,0.55,0.62,0.82,1.21,https://drive.google.com/drive/folders/1DCk9SNLMYrWMn-A02I9NVBzm_U5V0vl6?usp=sharing
